,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,docs_url,trending,updated_github_id
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-09-12 02:27:43,2023-09-06 12:16:36,550,13.0,83.0,19.0,369.0,109.0,83.0,829,2023-07-18 14:52:05,0.2.1,,,17.0,"Object mapping, and more, for Redis and Python.",644.0,644.0,23.0,https://pypi.org/project/redis-om-python,,22,True,1,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-09-21 11:22:44,2023-09-20 19:15:49,210,79.0,11.0,5.0,82.0,6.0,35.0,84,2023-09-20 19:17:56,2.2.3,,43763.0,24.0,python xml for humans.,30.0,30.0,6.0,https://pypi.org/project/pydantic-xml,43763.0,22,True,1,,,
24,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-08-04 06:43:27,2023-01-02 16:09:46,148,,46.0,5.0,36.0,17.0,22.0,300,,,,134687.0,,flask extension for integration with the awesome pydantic package.,463.0,463.0,12.0,https://pypi.org/project/flask-pydantic,134687.0,21,True,2,,,
25,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-09-06 17:42:13,2021-05-06 12:10:38,127,,145.0,50.0,48.0,,30.0,2879,2021-05-01 13:59:02,0.0.11,,35.0,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,35.0,20,True,3,,,
26,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-09-12 11:51:47,2023-01-03 19:16:25,478,,76.0,21.0,215.0,51.0,80.0,838,2023-01-03 20:08:22,0.9.2,,15481.0,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,15481.0,20,True,3,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,28.0,7.0,36.0,11.0,27.0,379,2022-04-14 10:14:45,0.7.0,,14400.0,15.0,Pydantic model support for Django.,58.0,58.0,4.0,https://pypi.org/project/djantic,14400.0,20,True,2,,,
28,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-09-21 14:28:38,2023-09-21 14:27:38,162,3.0,13.0,5.0,37.0,3.0,17.0,204,2023-09-21 14:28:38,0.0.44,,1745.0,34.0,"A single model for shaping, creating, accessing, storing data within a Database.",13.0,13.0,9.0,https://pypi.org/project/pydbantic,1745.0,19,True,3,,2.0,
29,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-09-04 21:03:54,2023-09-04 21:03:53,228,36.0,40.0,8.0,53.0,9.0,30.0,194,2022-01-25 16:40:44,0.2.0,,10283.0,5.0,Integrate GraphQL with your Pydantic models.,,,19.0,https://pypi.org/project/graphene-pydantic,10283.0,18,True,3,,,
30,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-09-16 18:42:41,2023-09-16 18:40:38,308,126.0,5.0,4.0,47.0,2.0,19.0,45,2023-09-16 18:42:41,0.2.28,,4964.0,77.0,Awesome python HTTP-clients from OpenAPI.,,,12.0,https://pypi.org/project/pythogen,4964.0,18,True,1,,,
31,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,2.0,,,,9,2023-04-03 15:10:03,1.17.3,,128732.0,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,428.0,428.0,28.0,https://pypi.org/project/pydantic-factories,128732.0,18,True,1,,,litestar-org/pydantic-factories
