,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-06-15 11:17:20,2023-06-11 22:50:06,2913,175.0,4815.0,631.0,2336.0,17.0,3312.0,59185,2023-06-11 22:54:37,0.97.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",194800.0,194800.0,456.0,https://pypi.org/project/fastapi,16594735.0,16594735.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-06-15 18:00:05,2023-06-15 18:00:04,14684,559.0,1217.0,153.0,5581.0,494.0,3348.0,12150,2023-06-08 21:16:28,2.10.13,100.0,The easiest way to orchestrate and observe your data pipelines.,3129.0,3129.0,163.0,https://pypi.org/project/prefect,721488.0,721488.0,42,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-06-08 15:42:14,2023-06-08 15:37:52,846,49.0,270.0,64.0,214.0,153.0,343.0,4500,2023-06-08 15:42:14,0.22.2,30.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1411.0,1411.0,93.0,https://pypi.org/project/django-ninja,111439.0,111439.0,33,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-06-15 13:07:23,2023-06-15 13:07:21,2775,155.0,405.0,45.0,2016.0,290.0,464.0,3260,2023-06-15 13:07:43,0.186.0,100.0,A GraphQL library for Python that leverages type annotations.,1909.0,1909.0,206.0,https://pypi.org/project/strawberry,518.0,590.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,437.0,,
4,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-06-15 14:47:05,2023-06-12 20:57:05,550,25.0,196.0,16.0,517.0,200.0,394.0,2377,2023-05-09 22:04:08,0.15.1,66.0,"A light-weight, flexible, and expressive statistical data testing library.",879.0,879.0,96.0,https://pypi.org/project/pandera,848893.0,848893.0,32,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-05-31 21:04:00,2023-02-21 11:02:54,236,,414.0,136.0,237.0,177.0,146.0,10024,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6179.0,6179.0,53.0,https://pypi.org/project/sqlmodel,409243.0,409243.0,31,True,1,,,,
6,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-06-12 20:01:10,2023-06-08 15:04:01,826,94.0,182.0,20.0,1035.0,57.0,248.0,1655,2023-06-06 15:19:45,0.20.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",747.0,747.0,73.0,https://pypi.org/project/datamodel-code-generator,291230.0,291230.0,31,True,1,,,,
7,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-06-09 19:14:40,2023-06-09 19:13:46,401,24.0,115.0,15.0,231.0,27.0,229.0,1244,2023-05-26 12:22:50,1.19.2,96.0,Asynchronous Python ODM for MongoDB.,1147.0,1147.0,47.0,https://pypi.org/project/beanie,61180.0,61180.0,30,True,1,,,1.0,
8,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-06-15 14:34:29,2023-06-15 14:32:55,2470,306.0,286.0,59.0,1623.0,79.0,596.0,2155,2023-06-06 10:04:41,2.16.2,98.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1590.0,1590.0,111.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-06-15 12:36:31,2023-06-15 09:31:01,3492,369.0,90.0,9.0,625.0,108.0,208.0,1234,2023-06-04 15:11:24,0.8.1,73.0,Open-source data observability for analytics engineers.,22.0,22.0,47.0,https://pypi.org/project/elementary,,,25,True,1,,,,
10,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-05-31 13:36:06,2023-05-31 13:36:01,245,31.0,30.0,13.0,68.0,3.0,47.0,141,,,,Pydantic data models for the GeoJSON spec.,257.0,257.0,20.0,https://pypi.org/project/geojson-pydantic,61103.0,61103.0,22,True,1,,,,
11,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-04-18 05:29:38,2023-01-03 19:16:25,478,,73.0,22.0,211.0,45.0,80.0,798,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,14807.0,14807.0,21,True,3,,,,
12,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-06-04 13:56:44,2023-01-02 16:09:46,148,,40.0,4.0,35.0,16.0,22.0,283,,,,flask extension for integration with the awesome pydantic package.,406.0,406.0,12.0,https://pypi.org/project/flask-pydantic,170482.0,170482.0,21,True,2,,,,
13,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,27.0,7.0,36.0,11.0,27.0,355,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,53.0,53.0,4.0,https://pypi.org/project/djantic,10957.0,10957.0,20,True,2,,,,
14,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-04-15 22:14:37,2023-04-15 22:09:50,159,3.0,11.0,5.0,34.0,1.0,16.0,201,2023-04-15 22:14:37,0.0.41,31.0,"A single model for shaping, creating, accessing, storing data within a Database.",12.0,12.0,9.0,https://pypi.org/project/pydbantic,1350.0,1350.0,19,True,3,,,,
15,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-06-10 07:19:31,2023-06-10 07:18:09,112,11.0,8.0,2.0,39.0,4.0,16.0,59,2023-06-10 07:20:13,0.6.2,10.0,pydantic xml extension.,18.0,18.0,5.0,https://pypi.org/project/pydantic-xml,21389.0,21389.0,18,True,1,,,1.0,
16,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,3.0,,1.0,,,,9,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,400.0,400.0,28.0,https://pypi.org/project/pydantic-factories,135336.0,135336.0,18,True,1,,,,litestar-org/pydantic-factories
17,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-05-17 15:30:52,2023-01-09 02:42:44,186,,39.0,8.0,49.0,10.0,27.0,188,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,16.0,https://pypi.org/project/graphene-pydantic,8992.0,8992.0,17,True,3,,,,
18,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-06-15 14:47:03,2023-06-15 14:47:03,176,31.0,3.0,3.0,29.0,6.0,13.0,42,2023-06-13 20:45:34,0.1.21,38.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,7.0,https://pypi.org/project/pythogen,1600.0,1600.0,17,True,1,,,,
19,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-04-03 08:11:31,2022-12-15 10:03:27,92,,5.0,26.0,34.0,26.0,2.0,185,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,2.0,2.0,,https://pypi.org/project/patito,693.0,693.0,14,True,1,,,,
20,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-06-12 12:01:25,2023-05-30 19:13:44,88,25.0,5.0,2.0,60.0,,1.0,53,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,4819.0,4819.0,14,True,3,,,,
