,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-02-08 18:05:30,2024-02-08 16:00:53,15083,621.0,22830.0,1078.0,14619.0,752.0,13205.0,119944,2024-01-29 16:11:49,4.37.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",136307.0,136307.0,2399.0,https://pypi.org/project/transformers,21134301.0,21134301.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-02-08 16:53:35,2024-02-08 13:11:17,3768,454.0,5535.0,656.0,3072.0,38.0,3347.0,67836,2024-02-04 21:25:05,0.109.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",304302.0,304302.0,589.0,https://pypi.org/project/fastapi,39210808.0,39210808.0,47,True,1,,,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-02-08 14:51:38,2024-02-05 09:07:03,16113,39.0,4177.0,555.0,3959.0,79.0,5468.0,28199,2024-02-06 10:13:33,3.7.3,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,79806.0,79806.0,748.0,https://pypi.org/project/spacy,6146056.0,6146056.0,44,True,1,-1.0,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-02-08 17:48:55,2024-02-08 17:41:31,20616,827.0,4960.0,466.0,26178.0,3124.0,13463.0,29819,2024-02-06 01:23:15,ray-2.9.2,78.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13593.0,13593.0,970.0,https://pypi.org/project/ray,3040000.0,3040002.0,43,True,1,,208.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-02-08 18:00:34,2024-02-08 17:02:53,15784,447.0,1393.0,159.0,6884.0,635.0,3839.0,13989,2024-02-01 23:35:36,2.14.20,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4405.0,4405.0,226.0,https://pypi.org/project/prefect,724270.0,724270.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-02-01 06:53:56,2024-01-10 17:54:15,8511,20.0,2147.0,207.0,4156.0,12.0,1911.0,19661,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1546.0,1546.0,176.0,https://pypi.org/project/jina,140975.0,140975.0,39,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-02-05 19:10:03,2024-01-09 06:52:30,369,38.0,506.0,152.0,322.0,173.0,153.0,12214,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9578.0,9578.0,71.0,https://pypi.org/project/sqlmodel,670592.0,670592.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-02-08 17:19:17,2024-02-08 16:34:24,2589,234.0,295.0,36.0,2014.0,121.0,774.0,3907,2024-02-06 18:40:07,2.6.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",372.0,372.0,174.0,https://pypi.org/project/litestar,30793.0,30793.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-02-08 08:45:15,2024-02-05 17:57:50,1051,84.0,240.0,23.0,1342.0,123.0,339.0,2116,2024-02-01 18:18:20,0.25.3,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1070.0,1070.0,107.0,https://pypi.org/project/datamodel-code-generator,685978.0,685978.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-02-08 13:17:19,2024-02-08 13:17:18,1079,99.0,347.0,76.0,291.0,232.0,454.0,5825,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",2026.0,2026.0,128.0,https://pypi.org/project/django-ninja,256119.0,256119.0,33,True,1,,,,
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-02-08 17:22:01,2024-02-07 18:24:02,6274,248.0,374.0,40.0,2151.0,33.0,228.0,3500,2024-02-06 17:18:14,0.55.2,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",368.0,368.0,89.0,https://pypi.org/project/zenml,28105.0,28105.0,33,True,3,,1.0,,
11,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-02-08 14:31:42,2024-02-08 14:31:34,632,21.0,240.0,21.0,625.0,300.0,422.0,2822,2023-12-08 21:11:15,0.18.0,78.0,"A light-weight, flexible, and expressive statistical data testing library.",1321.0,1321.0,112.0,https://pypi.org/project/pandera,1375593.0,1375593.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
12,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-02-08 13:29:21,2023-12-27 14:04:05,2705,5.0,1116.0,209.0,1045.0,20.0,614.0,6467,2023-12-27 14:49:16,1.5.0,62.0,An open source library for deep learning end-to-end dialog systems and chatbots.,374.0,374.0,76.0,https://pypi.org/project/deeppavlov,9561.0,9561.0,32,True,3,,,,
13,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-02-05 21:33:28,2024-01-25 05:28:40,467,24.0,177.0,18.0,313.0,54.0,298.0,1672,2024-01-25 05:53:16,1.25.0,100.0,Asynchronous Python ODM for MongoDB.,1938.0,1938.0,71.0,https://pypi.org/project/beanie,203703.0,203703.0,31,True,1,,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-02-08 17:07:01,2024-02-08 09:57:18,1313,16.0,76.0,16.0,763.0,71.0,176.0,1523,2023-06-18 17:05:55,0.12.2,77.0,python async orm with fastapi in mind and pydantic validation.,961.0,961.0,35.0,https://pypi.org/project/ormar,77989.0,77989.0,30,True,2,,,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-02-01 15:54:25,2024-01-23 23:03:35,1741,13.0,82.0,15.0,435.0,92.0,244.0,1206,2024-01-23 23:06:33,1.3.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",324.0,324.0,42.0,https://pypi.org/project/piccolo,16501.0,16501.0,29,True,3,,,,
16,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-02-08 16:28:24,2024-02-08 16:14:19,3265,268.0,332.0,52.0,2670.0,81.0,803.0,2513,2024-02-02 14:11:01,2.33.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2059.0,2059.0,142.0,https://pypi.org/project/aws-lambda-powertools-python,,1.0,28,False,1,,41.0,,aws-powertools/powertools-lambda-python
17,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-02-08 11:29:56,2024-02-08 11:29:55,1631,107.0,223.0,31.0,1027.0,120.0,132.0,2339,2024-01-29 22:48:35,0.10.28,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",223.0,223.0,72.0,https://pypi.org/project/robusta,39.0,39.0,28,True,1,,,,
