,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-10-19 17:51:35,2023-10-19 16:30:27,14250,766.0,21609.0,1060.0,13536.0,688.0,12391.0,113639,2023-10-18 21:15:29,4.34.1,143.0,18186707.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",107060.0,107060.0,2204.0,https://pypi.org/project/transformers,18186704.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-10-19 17:31:45,2023-10-18 12:51:07,3261,224.0,5218.0,640.0,2720.0,29.0,3335.0,63640,2023-10-18 12:52:22,0.104.0,,21419059.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",248599.0,248599.0,505.0,https://pypi.org/project/fastapi,21419059.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-10-19 18:04:00,2023-10-19 17:34:01,19532,1253.0,4692.0,461.0,24594.0,3067.0,12548.0,28240,2023-10-09 17:47:23,ray-2.7.1,93.0,2381205.0,73.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11823.0,11823.0,930.0,https://pypi.org/project/ray,2381204.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-10-19 15:06:02,2023-10-16 13:10:55,16058,86.0,4115.0,558.0,3899.0,75.0,5415.0,27360,2023-10-16 16:11:22,3.7.2,,6911318.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,71850.0,71850.0,742.0,https://pypi.org/project/spacy,6911318.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-10-19 17:38:57,2023-10-19 17:02:23,15230,372.0,1324.0,156.0,6231.0,549.0,3659.0,13051,2023-10-13 20:09:42,2.13.7,,646045.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3874.0,3874.0,202.0,https://pypi.org/project/prefect,646045.0,43,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-10-18 10:23:01,2023-10-18 07:07:39,8476,90.0,2127.0,206.0,4123.0,17.0,1893.0,19203,2023-10-06 13:54:08,3.22.1,,82406.0,100.0,Build multimodal AI applications with cloud-native stack.,1197.0,1197.0,175.0,https://pypi.org/project/jina,82406.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-10-12 20:15:50,2023-08-01 09:19:41,246,10.0,459.0,149.0,255.0,179.0,147.0,10912,2022-08-30 17:56:11,0.0.8,,535683.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7744.0,7744.0,53.0,https://pypi.org/project/sqlmodel,535683.0,34,True,1,1.0,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-10-18 14:59:51,2023-10-18 00:15:46,961,75.0,303.0,71.0,236.0,174.0,394.0,5085,2023-06-08 15:42:14,0.22.2,,175764.0,35.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1700.0,1700.0,104.0,https://pypi.org/project/django-ninja,175764.0,33,True,1,,,
8,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-10-19 08:03:50,2023-10-19 00:48:23,2255,254.0,257.0,32.0,1613.0,63.0,651.0,3165,2023-10-13 00:57:35,2.2.1,,12786.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",216.0,216.0,141.0,https://pypi.org/project/litestar,12786.0,33,True,3,,,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-10-19 17:54:47,2023-10-19 17:54:06,930,69.0,222.0,20.0,1203.0,109.0,280.0,1885,2023-10-08 01:56:40,0.22.1,,572442.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",922.0,922.0,93.0,https://pypi.org/project/datamodel-code-generator,572442.0,33,True,1,,,
10,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-10-17 11:41:15,2023-10-17 11:40:34,2699,10.0,1110.0,210.0,1034.0,17.0,613.0,6374,2023-10-17 11:41:15,1.4.0,,8044.0,61.0,An open source library for deep learning end-to-end dialog systems and chatbots.,360.0,360.0,76.0,https://pypi.org/project/deeppavlov,8044.0,32,True,3,1.0,,
11,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-10-19 14:08:24,2023-10-15 09:16:28,2967,112.0,448.0,44.0,2229.0,339.0,501.0,3493,2023-10-15 09:16:57,0.209.7,438.0,565.0,100.0,A GraphQL library for Python that leverages type annotations.,2333.0,2333.0,224.0,https://pypi.org/project/strawberry,478.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
12,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-10-19 16:03:58,2023-10-18 18:08:54,5967,163.0,322.0,39.0,1736.0,10.0,200.0,3102,2023-10-19 04:09:43,0.45.3,1.0,10366.0,82.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",200.0,200.0,78.0,https://pypi.org/project/zenml,10366.0,32,True,3,,,
