,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-09-06 13:01:08,2024-09-06 12:24:02,16773,662.0,25198.0,1117.0,17273.0,1029.0,14600.0,131663,2024-08-22 16:56:32,4.44.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",211422.0,211422.0,2795.0,https://pypi.org/project/transformers,35898042.0,35898042.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-09-05 22:41:03,2024-09-05 15:25:29,4674,374.0,6289.0,672.0,3527.0,39.0,3387.0,75356,2024-09-05 15:32:13,0.113.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",434538.0,434538.0,680.0,https://pypi.org/project/fastapi,54128868.0,54128868.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-09-06 01:43:01,2024-09-06 00:45:15,22566,739.0,5471.0,475.0,28879.0,3486.0,14868.0,32931,2024-08-28 00:11:51,ray-2.35.0,93.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,17591.0,17591.0,1066.0,https://pypi.org/project/ray,4200729.0,4200731.0,45,True,1,,235.0,1.0,
3,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-09-06 03:20:35,2024-09-06 01:46:54,17609,748.0,1523.0,164.0,9221.0,781.0,4647.0,15776,2024-09-06 03:20:35,2.20.6,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5580.0,5580.0,269.0,https://pypi.org/project/prefect,1934242.0,1934242.0,43,True,1,,,,
4,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-09-04 12:31:25,2024-08-20 10:16:08,16136,4.0,4277.0,560.0,4010.0,117.0,5511.0,29614,2024-08-20 14:28:21,release-v3.7.6,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,97867.0,97867.0,751.0,https://pypi.org/project/spacy,11870315.0,11870316.0,42,True,1,,119.0,-2.0,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-09-05 23:04:07,2024-09-05 23:04:05,8570,30.0,2200.0,211.0,4193.0,6.0,1936.0,20866,2024-09-05 09:59:53,3.27.5,100.0,Build multimodal AI applications with cloud-native stack.,1759.0,1759.0,177.0,https://pypi.org/project/jina,57724.0,57724.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-09-03 22:32:16,2024-09-03 14:13:37,542,107.0,581.0,144.0,480.0,175.0,159.0,14013,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",15083.0,15083.0,79.0,https://pypi.org/project/sqlmodel,1728132.0,1728132.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-09-04 07:29:55,2024-09-04 07:27:59,2882,68.0,357.0,40.0,2390.0,158.0,931.0,5335,2024-08-27 17:55:31,2.11.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",904.0,904.0,209.0,https://pypi.org/project/litestar,361353.0,361353.0,35,True,3,,,,
8,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-09-03 15:30:24,2024-08-31 20:07:41,766,44.0,300.0,19.0,776.0,350.0,511.0,3238,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1846.0,1846.0,144.0,https://pypi.org/project/pandera,4741149.0,4741149.0,34,True,1,,,1.0,https://pandera.readthedocs.io/en/stable/pydantic_integration.html
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-09-02 17:46:09,2024-09-02 16:25:01,1155,40.0,289.0,24.0,1487.0,189.0,362.0,2596,2024-09-02 16:43:07,0.26.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1365.0,1365.0,131.0,https://pypi.org/project/datamodel-code-generator,1218968.0,1218968.0,34,True,1,,,,
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-09-06 09:21:37,2024-08-31 02:25:05,6709,170.0,421.0,41.0,2673.0,31.0,265.0,3914,2024-08-28 20:01:29,0.65.0,100.0,ZenML : The bridge between ML and Ops. https://zenml.io.,670.0,670.0,97.0,https://pypi.org/project/zenml,60369.0,60369.0,33,True,3,,2.0,1.0,
11,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-08-12 17:09:11,2024-08-12 17:08:04,2710,2.0,1129.0,208.0,1051.0,24.0,615.0,6645,2024-08-12 17:09:11,1.7.0,64.0,An open source library for deep learning end-to-end dialog systems and chatbots.,405.0,405.0,77.0,https://pypi.org/project/deeppavlov,10233.0,10233.0,31,True,3,,,,
12,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-09-03 23:57:49,2024-08-27 07:24:54,502,25.0,209.0,18.0,372.0,84.0,338.0,1989,2024-05-01 19:47:15,1.26.0,100.0,Asynchronous Python ODM for MongoDB.,2723.0,2723.0,90.0,https://pypi.org/project/beanie,226729.0,226729.0,31,True,1,BeanieODM/beanie,,,
13,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-09-05 09:51:50,2024-09-05 09:51:50,1202,65.0,413.0,72.0,347.0,294.0,523.0,6894,2024-08-15 09:14:29,1.3.0,43.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,143.0,https://pypi.org/project/django-ninja,454846.0,454846.0,30,True,1,,,3.0,
