,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-12-28 15:26:57,2023-12-26 20:52:10,14816,738.0,22397.0,1070.0,14278.0,700.0,12943.0,117805,2023-12-18 18:44:02,4.36.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",125645.0,125645.0,2327.0,https://pypi.org/project/transformers,19037162.0,19037162.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-12-28 18:06:04,2023-12-26 20:47:18,3354,109.0,5421.0,656.0,2930.0,32.0,3343.0,66375,2023-12-26 20:24:45,0.108.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",285724.0,285724.0,516.0,https://pypi.org/project/fastapi,27146292.0,27146292.0,46,True,1,,,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-12-28 13:43:59,2023-12-21 10:00:06,16083,46.0,4150.0,556.0,3931.0,75.0,5444.0,27880,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,77144.0,77144.0,746.0,https://pypi.org/project/spacy,6606449.0,6606449.0,45,True,1,1.0,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-12-28 17:55:49,2023-12-28 17:55:49,20249,973.0,4838.0,465.0,25645.0,3002.0,13185.0,29236,2023-12-21 00:32:08,ray-2.9.0,76.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12995.0,12995.0,955.0,https://pypi.org/project/ray,2676993.0,2676995.0,44,True,1,,165.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-12-28 17:04:14,2023-12-28 16:18:16,15539,379.0,1359.0,158.0,6579.0,608.0,3764.0,13652,2023-12-20 22:59:20,2.14.12,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4160.0,4160.0,210.0,https://pypi.org/project/prefect,619061.0,619061.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-12-22 19:00:35,2023-12-14 23:03:21,8509,51.0,2147.0,206.0,4152.0,12.0,1910.0,19501,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1411.0,1411.0,176.0,https://pypi.org/project/jina,102560.0,102560.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-12-27 13:44:45,2023-12-10 20:20:18,367,121.0,495.0,156.0,312.0,173.0,153.0,11851,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8859.0,8859.0,71.0,https://pypi.org/project/sqlmodel,611874.0,611874.0,37,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-12-26 19:19:37,2023-12-26 19:17:05,2490,286.0,286.0,32.0,1925.0,99.0,743.0,3724,2023-12-23 14:54:17,2.4.5,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",318.0,318.0,164.0,https://pypi.org/project/litestar,21132.0,21132.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-12-28 07:28:46,2023-12-27 04:19:04,1034,120.0,235.0,21.0,1318.0,103.0,331.0,2022,2023-12-21 18:11:18,0.25.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1018.0,1018.0,105.0,https://pypi.org/project/datamodel-code-generator,599025.0,599025.0,34,True,1,,,,
9,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-12-27 14:49:16,2023-12-27 14:04:05,2705,12.0,1117.0,210.0,1045.0,19.0,613.0,6429,2023-12-27 14:49:16,1.5.0,62.0,An open source library for deep learning end-to-end dialog systems and chatbots.,370.0,370.0,76.0,https://pypi.org/project/deeppavlov,8728.0,8728.0,33,True,3,1.0,,,
10,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-12-28 09:04:05,2023-12-28 09:04:05,1064,115.0,337.0,73.0,277.0,207.0,450.0,5558,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1898.0,1898.0,124.0,https://pypi.org/project/django-ninja,209069.0,209069.0,33,True,1,,,,
