,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-05-02 17:22:23,2024-05-02 16:51:49,15795,748.0,23875.0,1091.0,15581.0,847.0,13828.0,125360,2024-04-23 22:01:20,4.40.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",164133.0,164133.0,2555.0,https://pypi.org/project/transformers,26300094.0,26300094.0,51,True,1,1.0,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-05-02 13:24:08,2024-04-30 06:38:41,4225,484.0,5904.0,665.0,3227.0,39.0,3359.0,71129,2024-04-30 00:37:26,0.110.3,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",352032.0,352032.0,625.0,https://pypi.org/project/fastapi,33104442.0,33104442.0,48,True,1,1.0,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-05-02 17:53:12,2024-05-02 16:55:05,21491,920.0,5164.0,473.0,27407.0,3204.0,14206.0,31170,2024-05-01 21:58:22,ray-2.20.0,83.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,15136.0,15136.0,1011.0,https://pypi.org/project/ray,4442785.0,4442787.0,45,True,1,,211.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-05-02 14:48:10,2024-05-02 14:46:41,16130,18.0,4219.0,555.0,3998.0,89.0,5494.0,28779,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,86901.0,86901.0,751.0,https://pypi.org/project/spacy,8899386.0,8899386.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-05-02 17:54:42,2024-05-02 17:38:51,16483,770.0,1452.0,159.0,7697.0,801.0,4125.0,14691,2024-04-25 19:44:01,2.18.1,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4797.0,4797.0,242.0,https://pypi.org/project/prefect,1081418.0,1081418.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-04-19 12:21:16,2024-04-10 23:04:20,8539,28.0,2164.0,208.0,4172.0,12.0,1924.0,20073,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1714.0,1714.0,176.0,https://pypi.org/project/jina,32604.0,32604.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-01 02:14:43,2024-04-30 06:29:21,404,35.0,543.0,151.0,377.0,175.0,154.0,13037,2024-04-30 06:30:05,0.0.18,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",11581.0,11581.0,72.0,https://pypi.org/project/sqlmodel,1205576.0,1205576.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-05-02 15:49:23,2024-04-30 17:58:25,2772,205.0,319.0,38.0,2258.0,131.0,866.0,4469,2024-04-09 08:14:38,2.8.2,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",518.0,518.0,188.0,https://pypi.org/project/litestar,1339952.0,1339952.0,36,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-05-01 20:21:49,2024-04-23 17:53:31,1094,46.0,263.0,25.0,1401.0,151.0,348.0,2313,2024-04-25 17:05:34,0.25.6,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1184.0,1184.0,118.0,https://pypi.org/project/datamodel-code-generator,957062.0,957062.0,34,True,1,1.0,,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-05-02 16:57:59,2024-05-02 13:39:50,6466,201.0,394.0,40.0,2363.0,38.0,242.0,3675,2024-05-02 15:15:05,0.57.0,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",502.0,502.0,91.0,https://pypi.org/project/zenml,19967.0,19967.0,33,True,3,,1.0,,
