,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-09-26 18:06:04,2024-09-26 17:38:20,16935,688.0,25398.0,1116.0,17513.0,1025.0,14748.0,132600,2024-09-26 18:07:17,4.45.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",219275.0,219275.0,2832.0,https://pypi.org/project/transformers,36244899.0,36244899.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-09-26 17:17:49,2024-09-26 17:17:48,4746,404.0,6339.0,675.0,3582.0,43.0,3388.0,76024,2024-09-17 19:17:23,0.115.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",449375.0,449375.0,687.0,https://pypi.org/project/fastapi,70663036.0,70663036.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-09-26 17:53:00,2024-09-26 17:52:59,22705,687.0,5509.0,475.0,29074.0,3516.0,14942.0,33173,2024-09-24 23:37:52,ray-2.37.0,96.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,17931.0,17931.0,1075.0,https://pypi.org/project/ray,5559857.0,5559859.0,45,True,1,,237.0,,
3,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-09-26 18:00:16,2024-09-26 17:25:58,17723,548.0,1545.0,164.0,9378.0,806.0,4706.0,15934,2024-09-20 13:55:42,3.0.3,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5675.0,5675.0,276.0,https://pypi.org/project/prefect,3698138.0,3698138.0,44,True,1,,,,
4,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-09-14 11:13:17,2024-09-14 09:36:27,16169,35.0,4283.0,562.0,4015.0,125.0,5512.0,29734,2024-08-20 14:28:21,release-v3.7.6,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,99723.0,99723.0,757.0,https://pypi.org/project/spacy,12564479.0,12564482.0,43,True,1,,242.0,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-09-26 15:49:28,2024-09-26 15:29:38,8601,56.0,2198.0,211.0,4205.0,6.0,1936.0,20966,2024-09-26 15:30:04,3.27.16,100.0,Build multimodal AI applications with cloud-native stack.,1765.0,1765.0,177.0,https://pypi.org/project/jina,83409.0,83409.0,40,True,1,,,1.0,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-09-23 17:50:54,2024-09-21 18:45:35,552,115.0,588.0,147.0,488.0,175.0,159.0,14157,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",15626.0,15626.0,80.0,https://pypi.org/project/sqlmodel,2148403.0,2148403.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-09-23 19:09:30,2024-09-23 16:02:29,2909,74.0,365.0,40.0,2414.0,154.0,948.0,5392,2024-09-21 14:40:07,2.12.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",942.0,942.0,210.0,https://pypi.org/project/litestar,366717.0,366717.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-09-26 12:41:11,2024-09-26 12:40:39,1158,31.0,293.0,24.0,1490.0,194.0,362.0,2642,2024-09-02 16:43:07,0.26.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1405.0,1405.0,132.0,https://pypi.org/project/datamodel-code-generator,1769440.0,1769440.0,34,True,1,,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-09-26 01:10:39,2024-09-25 12:59:07,775,37.0,305.0,20.0,787.0,352.0,516.0,3276,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1896.0,1896.0,147.0,https://pypi.org/project/pandera,5638799.0,5638799.0,33,True,1,,,-1.0,https://pandera.readthedocs.io/en/stable/pydantic_integration.html
