,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-09-14 17:51:33,2023-09-14 17:02:37,13980,779.0,21158.0,1051.0,13099.0,600.0,12146.0,111785,2023-09-06 21:14:16,4.33.1,142.0,17630381.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",99139.0,99139.0,2126.0,https://pypi.org/project/transformers,17630378.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-09-14 12:33:45,2023-09-10 10:37:04,3214,299.0,5129.0,639.0,2598.0,23.0,3328.0,62490,2023-09-02 17:18:43,0.103.1,,21813096.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",233171.0,233171.0,498.0,https://pypi.org/project/fastapi,21813096.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-09-14 18:05:51,2023-09-14 18:03:11,19153,1342.0,4604.0,457.0,24044.0,3023.0,12311.0,27558,2023-08-15 16:40:29,ray-2.6.3,89.0,4249629.0,71.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11311.0,11311.0,912.0,https://pypi.org/project/ray,4249628.0,45,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-09-13 17:56:22,2023-09-13 11:21:58,15993,62.0,4097.0,555.0,3866.0,75.0,5396.0,27085,2023-08-08 14:45:58,3.6.1,,6322649.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,69618.0,69618.0,737.0,https://pypi.org/project/spacy,6322649.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-09-14 17:54:07,2023-09-14 17:33:40,15090,393.0,1291.0,156.0,6064.0,530.0,3585.0,12785,2023-09-07 19:53:40,2.13.0,,655466.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3733.0,3733.0,193.0,https://pypi.org/project/prefect,655466.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-09-14 12:30:45,2023-09-14 12:30:43,8437,94.0,2116.0,205.0,4093.0,10.0,1886.0,19079,2023-09-07 08:48:14,3.20.3,,74131.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",1034.0,1034.0,172.0,https://pypi.org/project/jina,74131.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,453.0,143.0,252.0,179.0,146.0,10634,2022-08-30 17:56:11,0.0.8,,537748.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7257.0,7257.0,53.0,https://pypi.org/project/sqlmodel,537748.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-09-14 09:58:39,2023-09-14 09:58:39,926,80.0,299.0,70.0,229.0,172.0,379.0,4935,2023-06-08 15:42:14,0.22.2,,162608.0,34.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1614.0,1614.0,100.0,https://pypi.org/project/django-ninja,162608.0,33,True,1,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-09-14 16:13:35,2023-09-10 07:44:30,900,74.0,216.0,20.0,1154.0,94.0,270.0,1823,2023-09-06 16:35:41,0.21.5,,531869.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",870.0,870.0,89.0,https://pypi.org/project/datamodel-code-generator,531869.0,33,True,1,,,
9,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-09-14 15:35:16,2023-09-14 15:35:14,2930,153.0,438.0,43.0,2192.0,322.0,491.0,3433,2023-09-14 15:35:42,0.207.0,381.0,491.0,100.0,A GraphQL library for Python that leverages type annotations.,2196.0,2196.0,220.0,https://pypi.org/project/strawberry,415.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,,
10,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-09-12 17:36:22,2023-09-12 17:33:23,2154,273.0,242.0,30.0,1505.0,45.0,618.0,2824,2023-08-21 18:46:59,2.0.1,,9259.0,100.0,"Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",142.0,142.0,136.0,https://pypi.org/project/litestar,9259.0,32,True,3,,,
11,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-09-14 17:08:17,2023-09-14 17:08:17,588,38.0,211.0,16.0,560.0,247.0,406.0,2563,2023-07-17 15:59:14,0.16.1,,1072991.0,72.0,"A light-weight, flexible, and expressive statistical data testing library.",1020.0,1020.0,102.0,https://pypi.org/project/pandera,1072991.0,32,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
12,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-09-05 06:03:15,2023-08-17 07:21:00,2693,8.0,1105.0,210.0,1030.0,18.0,611.0,6338,2023-08-17 07:23:20,1.3.0,,7774.0,60.0,An open source library for deep learning end-to-end dialog systems and chatbots.,358.0,358.0,76.0,https://pypi.org/project/deeppavlov,7774.0,31,True,3,,-1.0,
13,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-09-14 15:44:24,2023-09-11 14:44:40,5888,155.0,315.0,39.0,1591.0,8.0,194.0,3037,2023-09-11 15:21:24,0.44.2,1.0,8916.0,77.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",168.0,168.0,75.0,https://pypi.org/project/zenml,8916.0,31,True,3,,,
14,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-09-14 17:27:39,2023-09-14 05:01:46,421,20.0,149.0,16.0,259.0,51.0,249.0,1428,2023-09-14 05:03:57,1.22.5,,119875.0,100.0,Asynchronous Python ODM for MongoDB.,1443.0,1443.0,57.0,https://pypi.org/project/beanie,119875.0,31,True,1,,2.0,
15,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-09-14 02:09:34,2023-09-14 02:07:26,1277,61.0,72.0,16.0,705.0,64.0,176.0,1427,2023-06-18 17:05:55,0.12.2,,41478.0,77.0,python async orm with fastapi in mind and pydantic validation.,872.0,872.0,33.0,https://pypi.org/project/ormar,41478.0,31,True,2,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-09-14 18:02:50,2023-09-14 16:53:27,2120,166.0,187.0,90.0,2585.0,187.0,714.0,2766,2023-09-06 15:44:19,8.8.0,15581.0,2813.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,11.0,11.0,33.0,https://pypi.org/project/onefuzz,2368.0,29,True,1,,,
17,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-09-11 19:45:44,2023-09-11 19:45:00,1716,28.0,74.0,13.0,413.0,88.0,236.0,1099,2023-09-11 19:45:44,0.121.0,,12672.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",281.0,281.0,42.0,https://pypi.org/project/piccolo,12672.0,29,True,3,,,
18,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-09-14 16:27:40,2023-09-14 16:27:39,2819,337.0,310.0,57.0,2153.0,60.0,701.0,2312,2023-09-08 13:37:35,2.24.0,18.0,0.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1770.0,1770.0,123.0,https://pypi.org/project/aws-lambda-powertools-python,,28,False,1,,,aws-powertools/powertools-lambda-python
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-09-14 15:25:59,2023-09-14 15:25:59,1475,109.0,193.0,26.0,870.0,116.0,92.0,2149,2023-09-06 10:02:21,0.10.23,,19.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",215.0,215.0,54.0,https://pypi.org/project/robusta,19.0,27,True,1,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-09-14 11:08:01,2023-09-10 15:24:21,4210,612.0,111.0,11.0,786.0,131.0,245.0,1393,2023-08-22 10:30:43,0.10.0,,,79.0,Open-source data observability for analytics engineers.,24.0,24.0,56.0,https://pypi.org/project/elementary,,25,True,1,,,
21,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-07-24 09:04:04,2023-07-24 08:58:14,279,34.0,33.0,14.0,77.0,1.0,56.0,162,,,,87000.0,,Pydantic data models for the GeoJSON spec.,277.0,277.0,22.0,https://pypi.org/project/geojson-pydantic,87000.0,24,True,1,,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-09-12 02:27:43,2023-09-06 12:16:36,550,13.0,82.0,19.0,369.0,109.0,83.0,826,2023-07-18 14:52:05,0.2.1,,,17.0,"Object mapping, and more, for Redis and Python.",638.0,638.0,23.0,https://pypi.org/project/redis-om-python,,22,True,1,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-09-12 18:10:04,2023-09-12 18:09:10,201,89.0,10.0,4.0,75.0,5.0,33.0,79,2023-09-12 18:11:28,2.2.1,,40320.0,22.0,python xml for humans.,29.0,29.0,6.0,https://pypi.org/project/pydantic-xml,40320.0,22,True,1,,,
24,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-08-04 06:43:27,2023-01-02 16:09:46,148,,46.0,5.0,36.0,17.0,22.0,298,,,,122455.0,,flask extension for integration with the awesome pydantic package.,461.0,461.0,12.0,https://pypi.org/project/flask-pydantic,122455.0,21,True,2,,,
25,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-09-06 17:42:13,2021-05-06 12:10:38,127,,146.0,50.0,48.0,,30.0,2877,2021-05-01 13:59:02,0.0.11,,35.0,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,35.0,20,True,3,,,
26,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-09-12 11:51:47,2023-01-03 19:16:25,478,,77.0,21.0,215.0,51.0,80.0,837,2023-01-03 20:08:22,0.9.2,,15318.0,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,15318.0,20,True,3,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,28.0,7.0,36.0,11.0,27.0,375,2022-04-14 10:14:45,0.7.0,,14603.0,15.0,Pydantic model support for Django.,58.0,58.0,4.0,https://pypi.org/project/djantic,14603.0,20,True,2,,,
28,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-09-04 21:03:54,2023-09-04 21:03:53,228,36.0,40.0,8.0,53.0,8.0,30.0,193,2022-01-25 16:40:44,0.2.0,,10211.0,5.0,Integrate GraphQL with your Pydantic models.,,,19.0,https://pypi.org/project/graphene-pydantic,10211.0,18,True,3,,,
29,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-09-10 13:49:32,2023-09-08 14:46:22,292,116.0,5.0,4.0,46.0,2.0,19.0,44,2023-09-03 09:47:50,0.2.22,,4944.0,72.0,Awesome python HTTP-clients from OpenAPI.,,,12.0,https://pypi.org/project/pythogen,4944.0,18,True,1,,,
30,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,2.0,,,,9,2023-04-03 15:10:03,1.17.3,,128745.0,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,425.0,425.0,28.0,https://pypi.org/project/pydantic-factories,128745.0,18,True,1,,,litestar-org/pydantic-factories
31,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-09-09 21:41:57,2023-09-09 21:39:10,161,2.0,13.0,5.0,36.0,3.0,17.0,203,2023-09-09 21:41:57,0.0.43,,868.0,33.0,"A single model for shaping, creating, accessing, storing data within a Database.",12.0,12.0,9.0,https://pypi.org/project/pydbantic,868.0,17,True,3,,-1.0,
32,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-07-29 13:51:20,2023-07-29 13:51:20,95,3.0,4.0,27.0,38.0,25.0,4.0,199,2022-12-02 17:38:25,0.4.4,,927.0,20.0,A data modelling layer built on top of polars and pydantic.,5.0,5.0,2.0,https://pypi.org/project/patito,927.0,15,True,1,,,
33,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-09-11 12:51:22,2023-09-11 12:51:22,102,14.0,6.0,2.0,75.0,1.0,1.0,58,2023-04-02 19:16:11,1.6.0,,6866.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,8.0,8.0,5.0,https://pypi.org/project/pyngo,6866.0,15,True,3,,,
34,pydantic-aioredis,andrewthetechie/pydantic-aioredis,pydantic-aioredis,[],databases-key-value,https://github.com/andrewthetechie/pydantic-aioredis,https://github.com/andrewthetechie/pydantic-aioredis,,2021-08-06 19:12:00,2023-09-12 19:21:25,2023-07-12 19:25:07,724,32.0,4.0,1.0,720.0,1.0,25.0,43,2023-03-30 03:30:46,1.2.3,,471.0,26.0,A Declarative ORM for Redis using Pydantic Models and aioredis.,6.0,6.0,6.0,https://pypi.org/project/pydantic-aioredis,471.0,14,True,3,,,
35,mongox,aminalaee/mongox,mongox,[],databases-document,https://github.com/aminalaee/mongox,https://github.com/aminalaee/mongox,MIT,2021-11-12 09:49:07,2023-03-01 09:00:21,2022-11-09 08:50:55,61,,8.0,6.0,84.0,3.0,13.0,117,2022-11-09 08:51:02,0.1.2,,38.0,6.0,Familiar async Python MongoDB ODM.,5.0,5.0,8.0,https://pypi.org/project/mongox,38.0,12,True,3,,,
36,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2023-08-21 18:04:03,2022-09-26 16:40:54,42,,3.0,3.0,11.0,,2.0,17,2022-09-26 16:39:42,0.2.4,21.0,1754.0,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,,,4.0,https://pypi.org/project/pydantic-ssm-settings,1753.0,12,True,2,,,
37,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2023-09-12 04:57:08,2022-12-12 06:10:33,81,,16.0,2.0,26.0,9.0,13.0,55,,,,5672.0,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,7.0,https://pypi.org/project/aiohttp-pydantic,5672.0,11,True,3,,,
38,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-04-14 16:02:34,2022-10-31 11:41:14,22,,3.0,3.0,36.0,2.0,,18,,,,35504.0,,,6.0,6.0,3.0,https://pypi.org/project/pydantic-spark,35504.0,11,False,3,,,
