,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-04-27 18:01:00,2023-04-25 19:12:33,2810,186.0,4662.0,628.0,2245.0,17.0,3304.0,57191.0,2023-04-13 19:10:27,0.95.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",173283.0,173283.0,442.0,https://pypi.org/project/fastapi,16523580.0,16523580.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-04-27 18:02:07,2023-04-27 17:18:45,14398,592.0,1170.0,153.0,5231.0,438.0,3161.0,11810.0,2023-04-20 21:26:43,2.10.5,100.0,The easiest way to orchestrate and observe your data pipelines.,2692.0,2692.0,147.0,https://pypi.org/project/prefect,722955.0,722955.0,41,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-04-26 12:43:55,2023-04-26 12:43:55,816,58.0,272.0,60.0,207.0,153.0,328.0,4317.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1273.0,1273.0,88.0,https://pypi.org/project/django-ninja,93402.0,93402.0,32,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-04-26 19:05:28,2023-04-25 20:51:43,2682,136.0,392.0,44.0,1946.0,264.0,443.0,3161.0,2023-04-25 20:52:02,0.174.0,100.0,A GraphQL library for Python that leverages type annotations.,1747.0,1747.0,196.0,https://pypi.org/project/strawberry,529.0,592.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,443.0,,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-04-27 15:39:59,2023-04-23 15:37:15,775,110.0,171.0,21.0,966.0,55.0,233.0,1574.0,2023-04-27 15:40:00,0.18.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",673.0,673.0,67.0,https://pypi.org/project/datamodel-code-generator,272241.0,272241.0,32,True,1,,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-26 18:45:51,2023-02-21 11:02:54,236,8.0,407.0,132.0,232.0,176.0,146.0,9782.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5683.0,5683.0,54.0,https://pypi.org/project/sqlmodel,373501.0,373501.0,31,True,1,,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-04-27 12:02:00,2023-04-26 14:29:58,537,27.0,181.0,15.0,495.0,188.0,379.0,2272.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",775.0,775.0,89.0,https://pypi.org/project/pandera,770930.0,770930.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-04-27 13:24:13,2023-04-26 20:54:55,2316,303.0,272.0,58.0,1394.0,67.0,547.0,2061.0,2023-04-21 13:30:07,2.14.1,95.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1488.0,1488.0,104.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-04-22 02:37:55,2023-03-31 19:43:43,383,10.0,112.0,15.0,217.0,39.0,202.0,1169.0,2023-04-12 08:10:30,1.18.0,92.0,Asynchronous Python ODM for MongoDB.,961.0,961.0,43.0,https://pypi.org/project/beanie,53715.0,53715.0,29,True,1,,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-04-27 16:15:37,2023-04-27 13:34:39,3262,527.0,82.0,9.0,563.0,90.0,183.0,1144.0,2023-04-27 12:28:17,0.7.8,69.0,Open-source data observability for analytics engineers.,19.0,19.0,44.0,https://pypi.org/project/elementary,,,25,True,1,,,,
