,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,updated_github_id,trending
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-05-23 17:57:37,2024-05-23 16:53:26,15967,779.0,24067.0,1101.0,15792.0,833.0,13992.0,126509,2024-05-22 20:36:44,4.41.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",171632.0,171632.0,2585.0,https://pypi.org/project/transformers,28158165.0,28158165.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-05-23 13:16:40,2024-05-20 23:57:31,4268,462.0,5973.0,675.0,3272.0,41.0,3366.0,71791,2024-05-03 00:21:04,0.111.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",365041.0,365041.0,632.0,https://pypi.org/project/fastapi,36148729.0,36148729.0,48,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-05-23 17:52:17,2024-05-23 17:44:16,21697,943.0,5213.0,471.0,27704.0,3237.0,14290.0,31483,2024-05-22 23:37:00,ray-2.23.0,86.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,15575.0,15575.0,1020.0,https://pypi.org/project/ray,4535791.0,4535793.0,45,True,1,213.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-05-17 07:12:06,2024-05-15 10:11:33,16131,14.0,4223.0,556.0,4001.0,92.0,5503.0,28918,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,88798.0,88798.0,751.0,https://pypi.org/project/spacy,12871309.0,12871309.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-05-23 18:04:38,2024-05-23 16:46:25,16655,773.0,1462.0,159.0,7973.0,826.0,4152.0,14871,2024-05-16 20:36:45,2.19.1,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4884.0,4884.0,243.0,https://pypi.org/project/prefect,1668364.0,1668364.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-05-16 16:09:03,2024-05-16 10:39:34,8540,24.0,2178.0,208.0,4174.0,12.0,1925.0,20211,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1724.0,1724.0,176.0,https://pypi.org/project/jina,31388.0,31388.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-22 10:54:14,2024-05-10 21:00:41,408,32.0,556.0,152.0,386.0,175.0,155.0,13194,2024-04-30 06:30:05,0.0.18,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",12148.0,12148.0,72.0,https://pypi.org/project/sqlmodel,1431779.0,1431779.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-05-20 18:39:06,2024-05-18 19:15:02,2794,183.0,324.0,38.0,2286.0,143.0,875.0,4548,2024-05-06 07:20:23,2.6.4,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",568.0,568.0,191.0,https://pypi.org/project/litestar,1249900.0,1249900.0,35,True,3,,,,
8,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-05-23 18:04:10,2024-05-14 07:25:21,6491,191.0,396.0,40.0,2419.0,37.0,246.0,3695,2024-05-14 09:54:32,0.57.1,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",527.0,527.0,93.0,https://pypi.org/project/zenml,37654.0,37654.0,33,True,3,1.0,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-05-23 12:53:09,2024-05-14 02:30:43,720,76.0,281.0,18.0,714.0,314.0,470.0,3054,2024-05-14 02:45:20,0.19.3,90.0,"A light-weight, flexible, and expressive statistical data testing library.",1588.0,1588.0,131.0,https://pypi.org/project/pandera,2300527.0,2300527.0,33,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
