,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-06-06 18:00:16,2024-06-06 15:13:18,16096,788.0,24222.0,1101.0,15968.0,862.0,14082.0,127219,2024-05-30 17:59:26,4.41.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",177025.0,177025.0,2624.0,https://pypi.org/project/transformers,28552272.0,28552272.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-06-06 17:13:56,2024-06-05 21:38:20,4300,479.0,6007.0,678.0,3302.0,41.0,3367.0,72277,2024-05-03 00:21:04,0.111.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",374207.0,374207.0,634.0,https://pypi.org/project/fastapi,37628627.0,37628627.0,48,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-06-06 17:49:59,2024-06-06 16:27:00,21808,843.0,5255.0,472.0,27842.0,3287.0,14352.0,31620,2024-05-22 23:37:00,ray-2.23.0,86.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,15888.0,15888.0,1028.0,https://pypi.org/project/ray,4014290.0,4014292.0,44,True,1,213.0,-1.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-06-05 17:20:24,2024-05-31 17:20:46,16132,15.0,4234.0,557.0,4005.0,93.0,5507.0,29012,2024-06-05 07:57:36,3.7.5,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,90057.0,90057.0,751.0,https://pypi.org/project/spacy,13196174.0,13196174.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-06-06 18:02:37,2024-06-06 17:08:28,16833,857.0,1477.0,159.0,8217.0,843.0,4184.0,15145,2024-06-04 20:15:14,2.19.4,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4939.0,4939.0,249.0,https://pypi.org/project/prefect,1681231.0,1681231.0,44,True,1,,1.0,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-05-25 02:26:16,2024-05-16 10:39:34,8540,17.0,2180.0,208.0,4175.0,9.0,1928.0,20326,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1727.0,1727.0,176.0,https://pypi.org/project/jina,39545.0,39545.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-06-05 01:52:55,2024-06-05 01:52:54,435,59.0,563.0,150.0,404.0,176.0,155.0,13334,2024-06-04 03:29:16,0.0.19,18.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",12530.0,12530.0,77.0,https://pypi.org/project/sqlmodel,1382561.0,1382561.0,37,True,1,,1.0,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-06-06 15:05:49,2024-06-05 15:04:27,2814,180.0,329.0,39.0,2309.0,147.0,880.0,4603,2024-06-02 16:34:16,2.9.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",603.0,603.0,192.0,https://pypi.org/project/litestar,1056496.0,1056496.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-06-06 02:00:04,2024-06-05 16:23:51,1115,49.0,275.0,25.0,1433.0,165.0,353.0,2373,2024-04-25 17:05:34,0.25.6,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1230.0,1230.0,123.0,https://pypi.org/project/datamodel-code-generator,948129.0,948129.0,35,True,1,,1.0,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-06-01 01:32:24,2024-05-31 02:06:43,722,76.0,283.0,18.0,717.0,325.0,471.0,3081,2024-05-14 02:45:20,0.19.3,90.0,"A light-weight, flexible, and expressive statistical data testing library.",1623.0,1623.0,133.0,https://pypi.org/project/pandera,1927569.0,1927569.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
