,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-11-23 17:59:07,2023-11-23 17:44:08,14565,751.0,21972.0,1074.0,13965.0,687.0,12686.0,115705,2023-11-15 16:39:42,4.35.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",115950.0,115950.0,2271.0,https://pypi.org/project/transformers,17838540.0,17838540.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-11-22 11:03:32,2023-11-18 13:47:35,3318,153.0,5316.0,645.0,2832.0,29.0,3341.0,64894,2023-10-30 10:05:55,0.104.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",267850.0,267850.0,514.0,https://pypi.org/project/fastapi,24560639.0,24560639.0,46,True,1,1.0,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-11-23 17:04:19,2023-11-23 00:40:41,19926,1054.0,4750.0,468.0,25124.0,3081.0,12866.0,28731,2023-11-03 00:55:09,ray-2.8.0,74.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12401.0,12401.0,943.0,https://pypi.org/project/ray,2511898.0,2511899.0,44,True,1,,120.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-11-23 13:38:23,2023-11-22 11:55:00,16075,72.0,4141.0,565.0,3916.0,76.0,5429.0,27614,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,74534.0,74534.0,745.0,https://pypi.org/project/spacy,6428920.0,6428920.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-11-23 07:38:01,2023-11-22 23:04:51,15384,425.0,1340.0,154.0,6395.0,580.0,3705.0,13369,2023-11-22 21:31:58,2.14.6,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4008.0,4008.0,207.0,https://pypi.org/project/prefect,653423.0,653423.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-11-23 07:37:26,2023-11-21 16:08:20,8497,70.0,2141.0,206.0,4140.0,13.0,1904.0,19357,2023-11-20 10:05:49,3.23.0,100.0,Build multimodal AI applications with cloud-native stack.,1309.0,1309.0,177.0,https://pypi.org/project/jina,82133.0,82133.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-11-23 07:58:56,2023-11-18 11:32:59,335,89.0,472.0,148.0,286.0,173.0,153.0,11352,2023-11-18 11:34:40,0.0.12,11.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8258.0,8258.0,71.0,https://pypi.org/project/sqlmodel,649920.0,649920.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-11-23 17:02:13,2023-11-23 16:35:58,2410,294.0,271.0,33.0,1794.0,91.0,702.0,3464,2023-11-06 19:50:24,2.3.2,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",264.0,264.0,155.0,https://pypi.org/project/litestar,17988.0,17988.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-11-23 11:29:54,2023-11-22 14:35:04,1001,114.0,228.0,21.0,1284.0,106.0,308.0,1954,2023-11-16 11:02:02,0.24.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",973.0,973.0,101.0,https://pypi.org/project/datamodel-code-generator,587279.0,587279.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-11-23 11:16:46,2023-11-23 07:54:12,1012,110.0,320.0,71.0,255.0,185.0,424.0,5274,2023-11-17 10:15:21,1.0.1,38.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1801.0,1801.0,114.0,https://pypi.org/project/django-ninja,226224.0,226224.0,33,True,1,1.0,,,
