,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,docs_url,trending
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-10-17 17:42:10,2024-10-17 15:53:48,17185,800.0,25648.0,1117.0,17814.0,1006.0,14926.0,133517,2024-10-07 17:42:52,4.45.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",228071.0,228071.0,2887.0,https://pypi.org/project/transformers,42014579.0,42014579.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-10-16 07:45:08,2024-10-16 07:45:07,4840,439.0,6419.0,681.0,3663.0,48.0,3395.0,76628,2024-10-12 10:01:30,0.115.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",464813.0,464813.0,699.0,https://pypi.org/project/fastapi,70593759.0,70593759.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-10-17 17:40:24,2024-10-17 00:29:55,22799,597.0,5570.0,473.0,29217.0,3568.0,15003.0,33443,2024-09-24 23:37:52,ray-2.37.0,96.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,18388.0,18388.0,1081.0,https://pypi.org/project/ray,6106979.0,6106981.0,45,True,1,,240.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-10-11 09:26:43,2024-10-11 09:26:15,16209,75.0,4305.0,561.0,4026.0,129.0,5520.0,29862,2024-10-01 18:19:33,release-v3.8.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,101805.0,101805.0,761.0,https://pypi.org/project/spacy,13984084.0,13984087.0,44,True,1,,250.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-10-17 18:05:05,2024-10-17 17:56:34,17834,525.0,1555.0,161.0,9531.0,840.0,4754.0,16115,2024-10-15 18:44:56,3.0.10,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5772.0,5772.0,281.0,https://pypi.org/project/prefect,5472387.0,5472387.0,44,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-10-01 23:03:49,2024-10-01 23:03:47,8605,50.0,2198.0,212.0,4207.0,5.0,1937.0,21061,2024-10-01 09:31:10,3.27.17,100.0,Build multimodal AI applications with cloud-native stack.,1772.0,1772.0,177.0,https://pypi.org/project/jina,128944.0,128944.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-10-15 22:50:45,2024-10-15 10:39:42,570,111.0,594.0,144.0,500.0,175.0,160.0,14321,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",16227.0,16227.0,80.0,https://pypi.org/project/sqlmodel,2233706.0,2233706.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-10-17 18:03:13,2024-10-17 14:27:36,2933,88.0,370.0,40.0,2447.0,174.0,959.0,5450,2024-09-21 14:40:07,2.12.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",998.0,998.0,213.0,https://pypi.org/project/litestar,361483.0,361483.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-10-17 17:22:29,2024-10-17 17:19:20,1164,31.0,294.0,24.0,1507.0,201.0,364.0,2697,2024-10-17 16:29:54,0.26.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1443.0,1443.0,135.0,https://pypi.org/project/datamodel-code-generator,5192904.0,5192904.0,35,True,1,,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-10-15 02:46:42,2024-09-30 20:04:54,776,18.0,306.0,20.0,789.0,358.0,517.0,3330,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1952.0,1952.0,147.0,https://pypi.org/project/pandera,6084354.0,6084354.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
