,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-07-13 17:56:12,2023-07-13 16:56:43,13406,807.0,20411.0,1038.0,12347.0,576.0,11571.0,107347,2023-06-13 19:29:33,4.30.2,142.0,13177648.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",83995.0,83995.0,2016.0,https://pypi.org/project/transformers,13177645.0,50,True,1,-1.0,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-07-13 16:25:59,2023-07-09 15:45:55,3037,241.0,4905.0,632.0,2445.0,18.0,3321.0,60303,2023-07-07 17:32:15,0.100.0,,16268307.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",206151.0,206151.0,472.0,https://pypi.org/project/fastapi,16268307.0,46,True,1,1.0,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-07-13 16:54:18,2023-07-13 15:33:05,15958,78.0,4066.0,550.0,3806.0,75.0,5365.0,26620,2023-07-07 08:32:23,3.6.0,,4570275.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,64077.0,64077.0,728.0,https://pypi.org/project/spacy,4570275.0,44,True,1,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-07-13 18:00:47,2023-07-13 18:00:46,18191,1334.0,4461.0,450.0,22571.0,2761.0,11785.0,26589,2023-06-21 18:09:41,ray-2.5.1,85.0,2146131.0,67.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,10475.0,10475.0,881.0,https://pypi.org/project/ray,2146130.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-07-13 18:05:14,2023-07-13 18:05:12,14822,485.0,1245.0,153.0,5745.0,502.0,3436.0,12315,2023-07-07 19:23:38,2.10.20,,656553.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3339.0,3339.0,180.0,https://pypi.org/project/prefect,656553.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-07-13 18:03:18,2023-07-10 23:03:35,8377,114.0,2102.0,200.0,4041.0,11.0,1856.0,18774,2023-07-10 09:03:06,3.19.0,,608376.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",772.0,772.0,170.0,https://pypi.org/project/jina,608376.0,40,True,1,1.0,,
6,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-07-13 11:15:07,2023-07-13 11:15:04,886,68.0,277.0,71.0,217.0,160.0,346.0,4618,2023-06-08 15:42:14,0.22.2,,124204.0,31.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1477.0,1477.0,94.0,https://pypi.org/project/django-ninja,124204.0,33,True,1,,,
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-13 03:07:05,2023-07-11 21:06:51,2844,183.0,415.0,45.0,2079.0,304.0,479.0,3304,2023-07-08 18:19:41,0.194.4,407.0,646.0,100.0,A GraphQL library for Python that leverages type annotations.,2003.0,2003.0,212.0,https://pypi.org/project/strawberry,565.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
8,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-07-13 14:30:23,2023-07-09 20:56:56,570,35.0,197.0,16.0,538.0,205.0,401.0,2433,2023-07-08 15:08:31,0.15.2,,901440.0,70.0,"A light-weight, flexible, and expressive statistical data testing library.",925.0,925.0,100.0,https://pypi.org/project/pandera,901440.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-07-13 14:20:37,2023-07-06 07:06:49,851,89.0,190.0,22.0,1075.0,66.0,254.0,1713,2023-07-06 07:24:20,0.21.1,,365004.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",794.0,794.0,75.0,https://pypi.org/project/datamodel-code-generator,365004.0,32,True,1,1.0,,
