,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-04-20 15:48:54,2023-04-13 19:04:52,2796,178.0,4624.0,628.0,2230.0,16.0,3304.0,56898.0,2023-04-13 19:10:27,0.95.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",170607.0,170607.0,439.0,https://pypi.org/project/fastapi,16718578.0,16718578.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-04-20 17:52:19,2023-04-20 17:20:40,14356,598.0,1165.0,153.0,5185.0,438.0,3135.0,11766.0,2023-04-13 21:38:49,2.10.4,100.0,The easiest way to orchestrate and observe your data pipelines.,2639.0,2639.0,145.0,https://pypi.org/project/prefect,798245.0,798245.0,41,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-04-20 07:54:00,2023-04-20 07:54:00,812,62.0,270.0,62.0,204.0,152.0,326.0,4288.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1258.0,1258.0,87.0,https://pypi.org/project/django-ninja,93744.0,93744.0,32,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-04-20 17:57:06,2023-04-20 17:54:09,2667,139.0,384.0,45.0,1934.0,267.0,438.0,3142.0,2023-04-07 14:52:05,0.171.1,100.0,A GraphQL library for Python that leverages type annotations.,1732.0,1732.0,191.0,https://pypi.org/project/strawberry,524.0,589.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,457.0,,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-04-20 01:59:12,2023-04-19 16:47:36,772,120.0,170.0,21.0,949.0,56.0,230.0,1553.0,2023-04-16 17:18:22,0.18.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",661.0,661.0,67.0,https://pypi.org/project/datamodel-code-generator,274202.0,274202.0,32,True,1,,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-13 10:00:18,2023-02-21 11:02:54,236,8.0,406.0,132.0,231.0,176.0,146.0,9751.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5601.0,5601.0,54.0,https://pypi.org/project/sqlmodel,364138.0,364138.0,31,True,1,,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-04-17 17:59:15,2023-04-17 17:59:14,536,29.0,178.0,15.0,493.0,186.0,378.0,2259.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",760.0,760.0,89.0,https://pypi.org/project/pandera,878325.0,878325.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-04-20 13:34:02,2023-04-20 13:34:00,2297,302.0,267.0,58.0,1382.0,79.0,530.0,2032.0,2023-04-14 10:42:24,2.13.0,93.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1472.0,1472.0,104.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-04-15 17:19:28,2023-03-31 19:43:43,383,10.0,111.0,16.0,216.0,42.0,197.0,1161.0,2023-04-12 08:10:30,1.18.0,92.0,Asynchronous Python ODM for MongoDB.,937.0,937.0,43.0,https://pypi.org/project/beanie,56048.0,56048.0,29,True,1,,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-04-20 11:19:06,2023-04-18 12:12:28,3233,574.0,80.0,9.0,549.0,85.0,179.0,1133.0,2023-04-11 12:52:09,0.7.7,68.0,Open-source data observability for analytics engineers.,18.0,18.0,44.0,https://pypi.org/project/elementary,,,25,True,1,,,,
10,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-04-04 12:50:33,2023-04-04 12:49:59,224,51.0,28.0,12.0,63.0,2.0,43.0,135.0,,,,Pydantic data models for the GeoJSON spec.,227.0,227.0,19.0,https://pypi.org/project/geojson-pydantic,56851.0,56851.0,22,True,1,,,,
11,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-04-18 05:29:38,2023-01-03 19:16:25,478,,72.0,21.0,211.0,43.0,80.0,788.0,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,14389.0,14389.0,21,True,3,,,,
12,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,2.0,25.0,6.0,36.0,10.0,27.0,345.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,48.0,48.0,4.0,https://pypi.org/project/djantic,10488.0,10488.0,20,True,2,,,,
13,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-04-20 13:25:00,2023-01-02 16:09:46,148,,40.0,4.0,34.0,16.0,22.0,272.0,,,,flask extension for integration with the awesome pydantic package.,359.0,359.0,12.0,https://pypi.org/project/flask-pydantic,59627.0,59627.0,20,True,2,,,,
14,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-04-15 22:14:37,2023-04-15 22:09:50,159,15.0,11.0,5.0,34.0,1.0,14.0,196.0,2023-04-15 22:14:37,0.0.41,31.0,"A single model for shaping, creating, accessing, storing data within a Database.",7.0,7.0,9.0,https://pypi.org/project/pydbantic,3211.0,3211.0,19,True,3,,,1.0,
15,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-04-17 17:55:34,2023-04-15 15:01:50,106,47.0,6.0,2.0,36.0,3.0,15.0,49.0,2023-04-15 15:03:45,0.6.1,9.0,pydantic xml extension.,15.0,15.0,4.0,https://pypi.org/project/pydantic-xml,13988.0,13988.0,19,True,1,,,1.0,
16,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-01-31 20:22:55,2023-01-09 02:42:44,186,,38.0,7.0,47.0,10.0,27.0,185.0,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,16.0,https://pypi.org/project/graphene-pydantic,8950.0,8950.0,16,True,3,,,,
17,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-04-19 12:40:30,2023-04-19 12:10:54,161,32.0,2.0,3.0,27.0,7.0,12.0,42.0,2023-04-19 12:40:30,0.1.17,34.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,7.0,https://pypi.org/project/pythogen,1387.0,1387.0,16,True,1,,,1.0,
18,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-04-03 08:11:31,2022-12-15 10:03:27,92,,2.0,24.0,34.0,26.0,2.0,163.0,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,1.0,1.0,,https://pypi.org/project/patito,717.0,717.0,14,True,1,,,,
19,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-04-17 12:12:01,2023-04-10 12:08:37,81,40.0,5.0,1.0,53.0,,1.0,50.0,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,5165.0,5165.0,14,True,3,,,,
20,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,8.0,,1.0,,,,8.0,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,,,28.0,https://pypi.org/project/pydantic-factories,146789.0,146789.0,14,True,1,,,-5.0,litestar-org/pydantic-factories
21,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,6.0,2021-10-14 08:22:48,1.2.1,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,4.0,4.0,3.0,https://pypi.org/project/sanic-pydantic,59.0,59.0,12,True,3,,,,
22,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-04-14 16:02:34,2022-10-31 11:41:14,22,,3.0,2.0,36.0,1.0,,15.0,,,,,3.0,3.0,3.0,https://pypi.org/project/pydantic-spark,14989.0,14989.0,11,False,3,,,,
23,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2022-12-19 10:16:06,2022-12-12 06:10:33,81,,14.0,2.0,24.0,7.0,13.0,52.0,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,7.0,https://pypi.org/project/aiohttp-pydantic,3777.0,3777.0,10,True,3,,,,
24,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,4.0,1.0,2.0,7.0,3.0,37.0,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,197.0,197.0,10,True,1,,,,
25,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2023-04-10 20:55:07,2023-04-10 20:44:25,49,3.0,3.0,1.0,13.0,2.0,7.0,6.0,,,,Pydantic validation for GeoJson.,,,5.0,https://pypi.org/project/pydantic-geojson,5150.0,5150.0,10,True,3,,,,
26,pydantic-numpy,cheind/pydantic-numpy,pydantic-numpy,[],data-structures,https://github.com/cheind/pydantic-numpy,https://github.com/cheind/pydantic-numpy,MIT,2022-03-25 04:15:58,2022-12-09 11:37:55,2022-12-09 11:37:52,55,,2.0,3.0,7.0,2.0,2.0,40.0,,,,Seamlessly integrate numpy arrays into pydantic models.,,,5.0,https://pypi.org/project/pydantic-numpy,2910.0,2910.0,9,True,3,,,,
27,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2023-02-20 14:39:56,2023-02-17 08:17:25,111,3.0,3.0,5.0,4.0,4.0,4.0,14.0,2023-02-20 14:39:56,release-0.3.1,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,,,2.0,https://pypi.org/project/nebula-carina,16.0,16.0,9,True,1,,,-1.0,
28,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2022-09-26 16:40:57,2022-09-26 16:40:54,42,,2.0,3.0,9.0,,2.0,13.0,2022-09-26 16:39:42,0.2.4,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,,,4.0,https://pypi.org/project/pydantic-ssm-settings,887.0,888.0,9,True,2,,11.0,,
29,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2022-11-06 13:35:46,2022-08-19 13:21:50,22,,5.0,5.0,17.0,2.0,,12.0,2022-08-05 10:56:33,0.3.1,3.0,,,,3.0,https://pypi.org/project/arangodantic,57.0,57.0,9,False,1,,,,
