,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-10-05 18:01:11,2023-10-05 14:57:50,14135,770.0,21408.0,1058.0,13356.0,662.0,12282.0,112802,2023-10-03 15:00:52,4.34.0,142.0,18147369.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",103664.0,103664.0,2161.0,https://pypi.org/project/transformers,18147366.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-10-05 17:36:08,2023-10-04 22:52:00,3249,220.0,5184.0,642.0,2677.0,28.0,3333.0,63178,2023-09-28 20:02:48,0.103.2,,21885339.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",242175.0,242175.0,505.0,https://pypi.org/project/fastapi,21885339.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-10-05 18:05:31,2023-10-05 17:45:02,19362,1240.0,4662.0,459.0,24360.0,3081.0,12425.0,28016,2023-09-17 18:13:10,ray-2.7.0,89.0,2160985.0,72.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11614.0,11614.0,924.0,https://pypi.org/project/ray,2160984.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-10-05 17:53:18,2023-10-05 14:10:19,16051,88.0,4112.0,558.0,3891.0,75.0,5407.0,27250,2023-10-05 06:46:15,3.7.1,,6386138.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,70907.0,70907.0,741.0,https://pypi.org/project/spacy,6386138.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-10-05 17:54:15,2023-10-05 17:36:41,15183,389.0,1312.0,156.0,6169.0,541.0,3636.0,12945,2023-09-29 15:28:04,2.13.4,,637271.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3814.0,3814.0,200.0,https://pypi.org/project/prefect,637271.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-10-04 23:04:13,2023-10-04 23:04:06,8463,90.0,2120.0,206.0,4110.0,12.0,1891.0,19150,2023-10-04 12:18:21,3.22.0,,83276.0,100.0,Build multimodal AI applications with cloud-native stack.,1134.0,1134.0,173.0,https://pypi.org/project/jina,83276.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-09-27 01:48:28,2023-08-01 09:19:41,246,10.0,460.0,144.0,254.0,179.0,147.0,10828,2022-08-30 17:56:11,0.0.8,,536379.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7558.0,7558.0,53.0,https://pypi.org/project/sqlmodel,536379.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-10-04 02:56:49,2023-10-03 12:15:52,949,81.0,300.0,72.0,231.0,172.0,392.0,5026,2023-06-08 15:42:14,0.22.2,,169968.0,35.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1669.0,1669.0,101.0,https://pypi.org/project/django-ninja,169968.0,33,True,1,,,
8,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-10-04 05:42:47,2023-10-04 04:00:12,2216,283.0,248.0,31.0,1572.0,48.0,639.0,3028,2023-09-25 17:56:37,2.1.1,,10799.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",197.0,197.0,139.0,https://pypi.org/project/litestar,10799.0,33,True,3,1.0,,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-10-05 08:05:48,2023-10-05 08:04:54,921,70.0,220.0,20.0,1191.0,102.0,275.0,1854,2023-09-23 16:40:33,0.22.0,,580862.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",904.0,904.0,93.0,https://pypi.org/project/datamodel-code-generator,580862.0,33,True,1,,,
