,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-03-23 13:23:08,2023-03-18 19:37:42,2748,174.0,4518.0,620.0,2190.0,16.0,3301.0,55783.0,2023-03-18 19:43:51,0.95.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",160469.0,160469.0,424.0,https://pypi.org/project/fastapi,16226656.0,16226656.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-03-23 18:03:02,2023-03-23 17:00:52,14169,544.0,1132.0,153.0,4965.0,673.0,2755.0,11539.0,2023-03-16 20:01:25,2.8.6,100.0,The easiest way to orchestrate and observe your data pipelines.,2391.0,2391.0,136.0,https://pypi.org/project/prefect,649893.0,649893.0,41,True,1,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-03-23 15:52:27,2023-03-17 12:17:32,795,51.0,265.0,61.0,193.0,142.0,316.0,4176.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1166.0,1166.0,83.0,https://pypi.org/project/django-ninja,99734.0,99734.0,32,True,1,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-03-21 22:43:07,2023-03-21 22:40:22,2627,123.0,373.0,42.0,1890.0,259.0,430.0,3043.0,2023-03-21 22:40:44,0.165.1,100.0,A GraphQL library for Python that leverages type annotations.,1650.0,1650.0,185.0,https://pypi.org/project/strawberry,456.0,517.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,432.0,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-03-23 02:03:26,2023-03-23 00:51:54,736,147.0,167.0,21.0,900.0,52.0,219.0,1497.0,2023-02-06 17:56:33,0.17.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",637.0,637.0,65.0,https://pypi.org/project/datamodel-code-generator,218045.0,218045.0,32,True,1,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-03-09 06:30:38,2023-02-21 11:02:54,236,8.0,402.0,125.0,228.0,177.0,145.0,9599.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5355.0,5355.0,54.0,https://pypi.org/project/sqlmodel,378796.0,378796.0,31,True,1,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-03-23 09:00:48,2023-03-20 19:59:17,529,22.0,173.0,16.0,485.0,176.0,373.0,2140.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",718.0,718.0,84.0,https://pypi.org/project/pandera,792985.0,792985.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-03-23 13:42:10,2023-03-23 07:12:02,2176,232.0,260.0,57.0,1298.0,79.0,507.0,1971.0,2023-03-17 12:09:29,2.10.0,90.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1421.0,1421.0,99.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-03-21 15:12:40,2023-03-21 11:32:02,378,14.0,106.0,14.0,210.0,52.0,170.0,1111.0,2023-02-09 15:25:23,1.18.0b1,91.0,Asynchronous Python ODM for MongoDB.,857.0,857.0,39.0,https://pypi.org/project/beanie,50354.0,50354.0,28,True,1,,,1.0
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-03-23 18:02:01,2023-03-23 13:49:49,3174,861.0,76.0,9.0,527.0,76.0,172.0,1066.0,2023-03-23 13:41:30,0.7.6,67.0,Open-source data observability for analytics engineers.,15.0,15.0,42.0,https://pypi.org/project/elementary,1.0,1.0,24,True,1,,,
10,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/starlite-api/pydantic-factories,https://github.com/starlite-api/pydantic-factories,MIT,2021-11-13 16:39:26,2023-03-23 05:29:31,2023-03-06 18:22:31,309,11.0,34.0,11.0,72.0,11.0,65.0,462.0,2023-02-09 20:20:39,1.17.2,62.0,Simple and powerful mock data generation using pydantic or dataclasses.,,,28.0,https://pypi.org/project/pydantic-factories,160688.0,160688.0,23,True,1,,,
11,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-03-14 13:23:21,2023-03-14 13:23:20,214,41.0,28.0,12.0,61.0,2.0,43.0,131.0,,,,Pydantic data models for the GeoJSON spec.,217.0,217.0,19.0,https://pypi.org/project/geojson-pydantic,62330.0,62330.0,22,True,1,,,1.0
12,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-03-22 22:08:07,2023-01-03 19:16:25,478,5.0,70.0,21.0,205.0,39.0,80.0,773.0,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,20114.0,20114.0,21,True,3,,,
13,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,7.0,25.0,6.0,36.0,10.0,27.0,340.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,43.0,43.0,4.0,https://pypi.org/project/djantic,9867.0,9867.0,21,True,2,,,
