,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-10-01 08:52:24,2024-10-01 08:52:21,1840,35.0,89.0,15.0,504.0,112.0,297.0,1414,2024-10-01 08:52:08,1.19.1,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",399.0,399.0,45.0,https://pypi.org/project/piccolo,41680.0,41680.0,29,True,3,,,,
17,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-10-02 08:01:09,2024-10-02 08:01:07,3261,77.0,519.0,39.0,2523.0,400.0,616.0,3957,2024-09-26 12:23:58,0.243.1,100.0,A GraphQL library for Python that leverages type annotations.,,,263.0,https://pypi.org/project/strawberry,648.0,692.0,27,True,1,,616.0,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support
18,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-09-25 15:58:56,2024-09-23 15:15:23,5011,83.0,162.0,10.0,1137.0,185.0,385.0,1898,2024-08-07 09:53:18,0.16.1,91.0,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes...,81.0,81.0,78.0,https://pypi.org/project/elementary,,,26,True,1,,,,
19,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,,198.0,90.0,2666.0,192.0,736.0,2821,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,14.0,14.0,33.0,https://pypi.org/project/onefuzz,1837.0,2246.0,25,True,1,,19676.0,,
20,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-10-01 20:09:32,2024-09-29 17:14:26,1864,73.0,249.0,31.0,1284.0,116.0,176.0,2571,2024-09-02 20:45:55,0.17.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",,,85.0,https://pypi.org/project/robusta,54.0,54.0,25,True,1,,,,
21,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-10-03 17:38:12,2024-10-03 17:37:33,305,18.0,16.0,5.0,126.0,11.0,79.0,155,2024-10-03 17:39:06,2.13.1,41.0,python xml for humans.,135.0,135.0,9.0,https://pypi.org/project/pydantic-xml,180149.0,180149.0,24,True,1,,,1.0,
22,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-07-10 15:21:14,2024-04-26 23:27:23,559,,89.0,19.0,306.0,78.0,88.0,1056,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3373.0,3373.0,19.0,https://pypi.org/project/odmantic,30935.0,30935.0,23,True,3,,,-2.0,
23,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2024-08-29 16:30:23,2024-08-29 16:29:56,301,4.0,34.0,14.0,82.0,4.0,64.0,224,,,,Pydantic data models for the GeoJSON spec.,422.0,422.0,23.0,https://pypi.org/project/geojson-pydantic,299253.0,299253.0,23,True,1,,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-09-30 02:41:02,2021-05-06 12:10:38,127,,155.0,47.0,70.0,1.0,30.0,3063,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",53.0,53.0,4.0,https://pypi.org/project/opyrator,558.0,558.0,22,True,3,,,,
25,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-09-23 03:12:45,2024-08-06 20:02:47,574,11.0,106.0,28.0,413.0,104.0,139.0,1110,2024-08-06 20:04:44,0.3.2,21.0,"Object mapping, and more, for Redis and Python.",,,29.0,https://pypi.org/project/redis-om-python,,,20,True,1,,,,
