,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-09-28 18:06:28,2023-09-28 18:02:27,14072,737.0,21317.0,1064.0,13271.0,639.0,12244.0,112518,2023-09-27 15:09:05,4.33.3,142.0,18483249.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",102160.0,102160.0,2146.0,https://pypi.org/project/transformers,18483246.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-09-28 15:13:26,2023-09-28 04:15:17,3240,223.0,5177.0,647.0,2652.0,26.0,3333.0,62976,2023-09-02 17:18:43,0.103.1,,21592018.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",239283.0,239283.0,505.0,https://pypi.org/project/fastapi,21592018.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-09-28 18:02:22,2023-09-28 16:35:19,19254,1201.0,4661.0,468.0,24208.0,3062.0,12388.0,27884,2023-09-17 18:13:10,ray-2.7.0,89.0,2587738.0,72.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11521.0,11521.0,919.0,https://pypi.org/project/ray,2587737.0,44,True,1,-1.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-09-28 15:32:07,2023-09-28 09:36:44,15999,54.0,4122.0,568.0,3881.0,76.0,5403.0,27223,2023-08-08 14:45:58,3.6.1,,6351627.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,70468.0,70468.0,740.0,https://pypi.org/project/spacy,6351627.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-09-28 17:55:03,2023-09-28 17:55:01,15147,385.0,1307.0,156.0,6131.0,540.0,3620.0,12908,2023-09-21 19:39:40,2.13.2,,646552.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3786.0,3786.0,197.0,https://pypi.org/project/prefect,646552.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-09-28 15:44:25,2023-09-28 15:44:23,8454,89.0,2119.0,205.0,4105.0,11.0,1888.0,19122,2023-09-26 15:55:40,3.21.0,,73109.0,100.0,Build multimodal AI applications with cloud-native stack.,1107.0,1107.0,173.0,https://pypi.org/project/jina,73109.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-09-27 01:48:28,2023-08-01 09:19:41,246,10.0,456.0,145.0,254.0,178.0,147.0,10795,2022-08-30 17:56:11,0.0.8,,538490.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7470.0,7470.0,53.0,https://pypi.org/project/sqlmodel,538490.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-09-26 08:50:10,2023-09-26 08:50:05,945,88.0,300.0,71.0,230.0,173.0,385.0,5004,2023-06-08 15:42:14,0.22.2,,169029.0,34.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1650.0,1650.0,101.0,https://pypi.org/project/django-ninja,169029.0,33,True,1,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-09-27 01:34:11,2023-09-23 16:37:51,914,72.0,219.0,20.0,1176.0,99.0,271.0,1842,2023-09-23 16:40:33,0.22.0,,568971.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",898.0,898.0,93.0,https://pypi.org/project/datamodel-code-generator,568971.0,33,True,1,,,
9,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-09-28 15:16:59,2023-09-24 13:38:24,2956,141.0,440.0,43.0,2211.0,325.0,497.0,3457,2023-09-24 10:54:06,0.209.2,367.0,495.0,100.0,A GraphQL library for Python that leverages type annotations.,2243.0,2243.0,222.0,https://pypi.org/project/strawberry,422.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
10,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-09-28 02:55:53,2023-09-28 02:55:52,2202,283.0,246.0,32.0,1559.0,48.0,632.0,2914,2023-09-25 17:56:37,2.1.1,,9603.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",173.0,173.0,139.0,https://pypi.org/project/litestar,9603.0,32,True,3,,,
11,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-09-27 22:54:44,2023-09-27 00:22:37,594,34.0,213.0,16.0,564.0,251.0,412.0,2597,2023-09-27 18:12:11,0.17.1,,1106283.0,75.0,"A light-weight, flexible, and expressive statistical data testing library.",1044.0,1044.0,102.0,https://pypi.org/project/pandera,1106283.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
12,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-09-28 12:21:18,2023-08-17 07:21:00,2693,5.0,1107.0,210.0,1032.0,18.0,611.0,6355,2023-08-17 07:23:20,1.3.0,,7665.0,60.0,An open source library for deep learning end-to-end dialog systems and chatbots.,358.0,358.0,76.0,https://pypi.org/project/deeppavlov,7665.0,31,True,3,,,
13,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-09-28 17:27:18,2023-09-16 22:58:36,422,20.0,152.0,18.0,264.0,52.0,255.0,1459,2023-09-16 23:02:42,1.22.6,,139406.0,100.0,Asynchronous Python ODM for MongoDB.,1484.0,1484.0,57.0,https://pypi.org/project/beanie,139406.0,31,True,1,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-09-28 02:18:32,2023-09-28 02:18:25,1286,56.0,73.0,16.0,718.0,64.0,176.0,1443,2023-06-18 17:05:55,0.12.2,,45683.0,77.0,python async orm with fastapi in mind and pydantic validation.,885.0,885.0,33.0,https://pypi.org/project/ormar,45683.0,31,True,2,,,
15,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-09-28 15:48:03,2023-09-26 21:51:23,5908,146.0,320.0,39.0,1622.0,10.0,196.0,3058,2023-09-26 22:57:46,0.44.3,1.0,7775.0,78.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",183.0,183.0,76.0,https://pypi.org/project/zenml,7775.0,30,True,3,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-09-28 16:33:54,2023-09-28 13:44:46,2133,137.0,189.0,90.0,2603.0,193.0,720.0,2774,2023-09-06 15:44:19,8.8.0,15700.0,2059.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,11.0,11.0,33.0,https://pypi.org/project/onefuzz,1611.0,29,True,1,,,
17,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-09-16 08:25:43,2023-09-16 08:25:42,1717,20.0,74.0,14.0,414.0,88.0,236.0,1111,2023-09-11 19:45:44,0.121.0,,14210.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",284.0,284.0,42.0,https://pypi.org/project/piccolo,14210.0,29,True,3,,,
18,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-09-28 18:00:03,2023-09-28 07:01:56,2863,321.0,316.0,57.0,2202.0,58.0,708.0,2324,2023-09-22 13:46:03,2.25.1,20.0,0.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1791.0,1791.0,131.0,https://pypi.org/project/aws-lambda-powertools-python,,28,False,1,,,aws-powertools/powertools-lambda-python
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-09-28 13:31:16,2023-09-28 08:34:10,1491,107.0,197.0,27.0,890.0,121.0,92.0,2175,2023-09-28 13:31:16,0.10.24,,21.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",215.0,215.0,55.0,https://pypi.org/project/robusta,21.0,28,True,1,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-09-28 15:56:38,2023-09-28 15:56:36,4266,513.0,113.0,11.0,800.0,135.0,249.0,1429,2023-08-22 10:30:43,0.10.0,,,79.0,Open-source data observability for analytics engineers.,24.0,24.0,58.0,https://pypi.org/project/elementary,,25,True,1,,,
21,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-09-28 13:21:04,2023-07-24 08:58:14,279,33.0,33.0,14.0,78.0,2.0,57.0,163,,,,93615.0,,Pydantic data models for the GeoJSON spec.,279.0,279.0,22.0,https://pypi.org/project/geojson-pydantic,93615.0,24,True,1,,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-09-12 02:27:43,2023-09-06 12:16:36,550,13.0,85.0,19.0,369.0,108.0,84.0,836,2023-07-18 14:52:05,0.2.1,,,17.0,"Object mapping, and more, for Redis and Python.",648.0,648.0,23.0,https://pypi.org/project/redis-om-python,,22,True,1,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-09-28 14:24:03,2023-09-22 13:51:29,213,79.0,11.0,5.0,85.0,6.0,39.0,86,2023-09-20 19:17:56,2.2.3,,45430.0,24.0,python xml for humans.,30.0,30.0,7.0,https://pypi.org/project/pydantic-xml,45430.0,22,True,1,,,
24,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-09-26 11:30:34,2023-01-02 16:09:46,148,,47.0,4.0,37.0,17.0,22.0,301,,,,140994.0,,flask extension for integration with the awesome pydantic package.,467.0,467.0,12.0,https://pypi.org/project/flask-pydantic,140994.0,21,True,2,,,
25,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-09-21 18:08:20,2021-05-06 12:10:38,127,,148.0,50.0,49.0,,30.0,2887,2021-05-01 13:59:02,0.0.11,,40.0,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,40.0,20,True,3,,,
26,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-09-12 11:51:47,2023-01-03 19:16:25,478,,77.0,21.0,215.0,52.0,81.0,843,2023-01-03 20:08:22,0.9.2,,15863.0,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,15863.0,20,True,3,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,29.0,7.0,36.0,11.0,27.0,384,2022-04-14 10:14:45,0.7.0,,14741.0,15.0,Pydantic model support for Django.,58.0,58.0,4.0,https://pypi.org/project/djantic,14741.0,20,True,2,,,
28,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-09-21 23:36:00,2023-09-21 23:34:35,163,4.0,13.0,5.0,39.0,3.0,17.0,206,2023-09-21 23:36:00,0.0.45,,2733.0,34.0,"A single model for shaping, creating, accessing, storing data within a Database.",13.0,13.0,9.0,https://pypi.org/project/pydbantic,2733.0,19,True,3,,,
29,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-09-24 19:36:18,2023-09-24 19:36:14,232,40.0,40.0,8.0,54.0,8.0,31.0,194,2022-01-25 16:40:44,0.2.0,,10835.0,5.0,Integrate GraphQL with your Pydantic models.,,,19.0,https://pypi.org/project/graphene-pydantic,10835.0,18,True,3,,,
30,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-09-28 08:40:27,2023-09-28 08:40:27,310,117.0,5.0,4.0,48.0,2.0,19.0,46,2023-09-16 18:42:41,0.2.28,,3215.0,77.0,Awesome python HTTP-clients from OpenAPI.,,,13.0,https://pypi.org/project/pythogen,3215.0,18,True,1,,,
31,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,2.0,,,,10,2023-04-03 15:10:03,1.17.3,,129247.0,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,430.0,430.0,28.0,https://pypi.org/project/pydantic-factories,129247.0,18,True,1,,,litestar-org/pydantic-factories
32,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-07-29 13:51:20,2023-07-29 13:51:20,95,3.0,4.0,28.0,38.0,25.0,4.0,199,2022-12-02 17:38:25,0.4.4,,864.0,20.0,A data modelling layer built on top of polars and pydantic.,5.0,5.0,2.0,https://pypi.org/project/patito,864.0,15,True,1,,,
33,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-09-21 13:29:34,2023-09-21 13:29:34,104,12.0,7.0,2.0,77.0,1.0,1.0,59,2023-04-02 19:16:11,1.6.0,,6612.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,8.0,8.0,6.0,https://pypi.org/project/pyngo,6612.0,15,True,3,,,
34,pydantic-aioredis,andrewthetechie/pydantic-aioredis,pydantic-aioredis,[],databases-key-value,https://github.com/andrewthetechie/pydantic-aioredis,https://github.com/andrewthetechie/pydantic-aioredis,,2021-08-06 19:12:00,2023-09-26 19:26:50,2023-07-12 19:25:07,724,12.0,4.0,1.0,726.0,1.0,25.0,44,2023-03-30 03:30:46,1.2.3,,528.0,26.0,A Declarative ORM for Redis using Pydantic Models and aioredis.,6.0,6.0,6.0,https://pypi.org/project/pydantic-aioredis,528.0,14,True,3,,,
35,mongox,aminalaee/mongox,mongox,[],databases-document,https://github.com/aminalaee/mongox,https://github.com/aminalaee/mongox,MIT,2021-11-12 09:49:07,2023-03-01 09:00:21,2022-11-09 08:50:55,61,,8.0,6.0,84.0,3.0,13.0,117,2022-11-09 08:51:02,0.1.2,,33.0,6.0,Familiar async Python MongoDB ODM.,5.0,5.0,8.0,https://pypi.org/project/mongox,33.0,12,True,3,,,
