,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-04-11 18:02:25,2024-04-11 16:23:55,15577,689.0,23687.0,1094.0,15322.0,806.0,13701.0,124106,2024-04-02 09:36:10,4.39.3,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",156334.0,156334.0,2525.0,https://pypi.org/project/transformers,24387841.0,24387841.0,51,True,1,1.0,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-04-11 09:21:27,2024-04-06 15:44:16,4179,670.0,5832.0,664.0,3188.0,40.0,3358.0,70445,2024-04-02 03:18:10,0.110.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",339062.0,339062.0,618.0,https://pypi.org/project/fastapi,31479427.0,31479427.0,47,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-04-11 18:03:34,2024-04-11 17:45:06,21277,902.0,5109.0,469.0,27119.0,3167.0,14105.0,30866,2024-03-21 19:02:34,ray-2.10.0,80.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,14724.0,14724.0,997.0,https://pypi.org/project/ray,3690809.0,3690811.0,45,True,1,,210.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-04-11 17:33:46,2024-04-04 10:55:08,16122,28.0,4198.0,554.0,3984.0,85.0,5490.0,28650,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,84853.0,84853.0,749.0,https://pypi.org/project/spacy,8086125.0,8086125.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-04-11 18:03:37,2024-04-11 17:56:25,16271,661.0,1424.0,159.0,7428.0,593.0,4066.0,14480,2024-04-04 20:12:28,2.16.9,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4694.0,4694.0,237.0,https://pypi.org/project/prefect,944727.0,944727.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-04-10 23:04:22,2024-04-10 23:04:20,8539,28.0,2161.0,206.0,4171.0,13.0,1922.0,19872,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1710.0,1710.0,176.0,https://pypi.org/project/jina,23999.0,23999.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-04-09 22:35:28,2024-04-08 23:08:14,389,20.0,538.0,154.0,359.0,174.0,154.0,12839,2024-02-17 13:54:28,0.0.16,15.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",11124.0,11124.0,72.0,https://pypi.org/project/sqlmodel,1191924.0,1191924.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-04-11 14:47:24,2024-04-11 03:44:35,2742,217.0,318.0,36.0,2212.0,120.0,843.0,4367,2024-04-09 08:14:38,2.8.2,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",473.0,473.0,187.0,https://pypi.org/project/litestar,1231676.0,1231676.0,36,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-04-11 17:03:37,2024-04-08 15:20:01,1080,44.0,256.0,25.0,1380.0,144.0,345.0,2271,2024-03-16 17:17:16,0.25.5,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1152.0,1152.0,114.0,https://pypi.org/project/datamodel-code-generator,856165.0,856165.0,34,True,1,1.0,,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-04-11 17:03:20,2024-04-09 15:40:00,6420,227.0,392.0,40.0,2310.0,38.0,241.0,3631,2024-04-09 16:44:52,0.56.3,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",474.0,474.0,91.0,https://pypi.org/project/zenml,15173.0,15173.0,33,True,3,,1.0,,
10,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-04-11 14:29:34,2024-04-10 14:50:38,681,56.0,261.0,20.0,663.0,303.0,441.0,2973,2024-03-11 18:57:17,0.18.3,83.0,"A light-weight, flexible, and expressive statistical data testing library.",1465.0,1465.0,122.0,https://pypi.org/project/pandera,2606811.0,2606811.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
11,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-03-13 10:47:19,2024-03-13 09:36:57,2708,3.0,1117.0,209.0,1048.0,20.0,615.0,6529,2024-03-13 10:47:20,1.6.0,63.0,An open source library for deep learning end-to-end dialog systems and chatbots.,382.0,382.0,77.0,https://pypi.org/project/deeppavlov,9037.0,9037.0,32,True,3,,,,
12,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-04-08 05:11:34,2024-02-09 10:23:44,1081,9.0,364.0,75.0,302.0,257.0,463.0,6144,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",2258.0,2258.0,128.0,https://pypi.org/project/django-ninja,284047.0,284047.0,31,True,1,-1.0,,,
13,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-04-07 15:37:17,2024-02-26 22:10:44,469,9.0,185.0,15.0,328.0,69.0,310.0,1780,2024-01-25 05:53:16,1.25.0,100.0,Asynchronous Python ODM for MongoDB.,2189.0,2189.0,73.0,https://pypi.org/project/beanie,185912.0,185912.0,30,True,1,-1.0,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-04-10 02:41:08,2024-03-23 23:41:32,1324,16.0,77.0,15.0,787.0,64.0,184.0,1563,2023-06-18 17:05:55,0.12.2,78.0,python async orm with fastapi in mind and pydantic validation.,989.0,989.0,35.0,https://pypi.org/project/ormar,88435.0,88435.0,30,True,2,,,,
15,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-04-11 12:12:19,2024-04-11 09:15:23,3538,352.0,349.0,52.0,2976.0,78.0,864.0,2589,2024-03-28 11:28:12,2.36.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2206.0,2206.0,149.0,https://pypi.org/project/aws-lambda-powertools-python,,1.0,29,False,1,,51.0,,aws-powertools/powertools-lambda-python
16,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-04-11 17:21:33,2024-04-11 11:08:14,1710,109.0,230.0,31.0,1113.0,108.0,155.0,2400,2024-04-11 17:06:23,0.11.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",224.0,224.0,77.0,https://pypi.org/project/robusta,31.0,31.0,29,True,1,,,,
17,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-04-11 10:31:42,2024-04-06 09:33:31,1765,32.0,84.0,15.0,458.0,102.0,255.0,1261,2024-03-22 16:59:04,1.5.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",347.0,347.0,43.0,https://pypi.org/project/piccolo,17314.0,17314.0,29,True,3,,,,
18,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-04-10 12:34:06,2024-03-30 19:03:05,3076,45.0,490.0,41.0,2409.0,395.0,540.0,3746,2024-03-30 19:03:27,0.224.1,100.0,A GraphQL library for Python that leverages type annotations.,,,243.0,https://pypi.org/project/strawberry,521.0,568.0,27,True,1,,471.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
19,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-04-11 14:41:17,2024-04-11 13:33:26,4828,196.0,144.0,10.0,1009.0,197.0,278.0,1721,2024-02-29 10:20:40,0.14.1,87.0,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes...,59.0,59.0,68.0,https://pypi.org/project/elementary,4.0,4.0,26,True,1,,,,
20,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-04-10 04:58:17,2024-03-23 16:03:46,554,20.0,88.0,19.0,275.0,64.0,87.0,966,2024-03-18 04:24:30,1.0.1,20.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3236.0,3236.0,19.0,https://pypi.org/project/odmantic,26673.0,26673.0,26,True,3,,,,
21,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,,191.0,91.0,2666.0,192.0,736.0,2804,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,410.0,830.0,24,True,1,,17657.0,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-04-10 01:47:36,2024-03-26 19:14:49,553,3.0,103.0,23.0,379.0,125.0,96.0,999,2024-03-26 18:34:10,0.2.2,18.0,"Object mapping, and more, for Redis and Python.",863.0,863.0,26.0,https://pypi.org/project/redis-om-python,,,23,True,1,,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-03-31 14:19:00,2024-02-03 16:57:28,267,21.0,14.0,4.0,108.0,10.0,63.0,125,2024-02-03 17:00:02,2.9.0,33.0,python xml for humans.,84.0,84.0,9.0,https://pypi.org/project/pydantic-xml,67058.0,67058.0,23,True,1,,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-04-03 18:36:19,2021-05-06 12:10:38,127,,156.0,48.0,62.0,1.0,30.0,3011,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",48.0,48.0,4.0,https://pypi.org/project/opyrator,380.0,380.0,22,True,3,,,,
25,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2024-02-07 01:01:21,2024-01-08 16:14:23,162,,53.0,7.0,45.0,20.0,25.0,335,,,,flask extension for integration with the awesome pydantic package.,577.0,577.0,13.0,https://pypi.org/project/flask-pydantic,172285.0,172285.0,22,True,2,,,,
