,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-08-31 18:02:32,2023-08-31 17:14:18,13865,809.0,21019.0,1054.0,12946.0,602.0,12025.0,111052,2023-08-28 12:48:30,4.32.1,142.0,16084852.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",95891.0,95891.0,2103.0,https://pypi.org/project/transformers,16084849.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-08-31 11:56:44,2023-08-26 18:14:42,3172,339.0,5092.0,639.0,2572.0,22.0,3327.0,62014,2023-08-26 18:14:35,0.103.0,,21751740.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",226997.0,226997.0,488.0,https://pypi.org/project/fastapi,21751740.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-08-31 17:56:49,2023-08-31 17:53:57,18960,1357.0,4565.0,459.0,23703.0,2973.0,12207.0,27345,2023-08-15 16:40:29,ray-2.6.3,87.0,4030314.0,71.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11088.0,11088.0,907.0,https://pypi.org/project/ray,4030313.0,45,True,1,1.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-08-31 15:30:50,2023-08-30 09:58:14,15986,61.0,4096.0,552.0,3849.0,74.0,5391.0,26980,2023-08-08 14:45:58,3.6.1,,5960653.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,68470.0,68470.0,736.0,https://pypi.org/project/spacy,5960653.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-08-31 18:04:34,2023-08-31 17:30:13,15007,388.0,1285.0,155.0,5967.0,522.0,3551.0,12694,2023-08-24 19:16:59,2.11.5,,656243.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3662.0,3662.0,191.0,https://pypi.org/project/prefect,656243.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-08-31 16:33:35,2023-08-31 14:29:56,8428,97.0,2110.0,204.0,4087.0,13.0,1879.0,19034,2023-08-10 15:51:36,3.20.1,,224785.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",947.0,947.0,171.0,https://pypi.org/project/jina,224785.0,40,True,1,,,
6,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-08-31 01:52:23,2023-08-30 16:22:22,894,94.0,212.0,21.0,1141.0,83.0,270.0,1800,2023-08-09 18:39:06,0.21.4,,515887.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",861.0,861.0,87.0,https://pypi.org/project/datamodel-code-generator,515887.0,34,True,1,1.0,,
7,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,453.0,145.0,252.0,178.0,146.0,10544,2022-08-30 17:56:11,0.0.8,,524350.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7052.0,7052.0,53.0,https://pypi.org/project/sqlmodel,524350.0,33,True,1,,,
8,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-08-30 18:30:44,2023-08-28 12:35:04,905,60.0,292.0,69.0,224.0,171.0,371.0,4868,2023-06-08 15:42:14,0.22.2,,158856.0,33.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1589.0,1589.0,96.0,https://pypi.org/project/django-ninja,158856.0,33,True,1,,,
9,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-08-24 05:53:59,2023-08-17 07:21:00,2693,13.0,1106.0,210.0,1030.0,18.0,611.0,6332,2023-08-17 07:23:20,1.3.0,,7601.0,60.0,An open source library for deep learning end-to-end dialog systems and chatbots.,357.0,357.0,76.0,https://pypi.org/project/deeppavlov,7601.0,32,True,3,,,
10,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-30 18:08:10,2023-08-24 12:01:09,2926,189.0,435.0,44.0,2177.0,313.0,491.0,3413,2023-08-24 12:01:39,0.205.0,367.0,537.0,100.0,A GraphQL library for Python that leverages type annotations.,2149.0,2149.0,219.0,https://pypi.org/project/strawberry,446.0,32,True,1,-1.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
11,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-08-30 15:25:13,2023-08-26 19:10:45,587,39.0,209.0,16.0,558.0,238.0,406.0,2535,2023-07-17 15:59:14,0.16.1,,1000573.0,72.0,"A light-weight, flexible, and expressive statistical data testing library.",1009.0,1009.0,102.0,https://pypi.org/project/pandera,1000573.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
12,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-08-31 18:05:14,2023-08-29 14:23:27,5853,156.0,311.0,40.0,1556.0,8.0,191.0,3015,2023-08-29 15:19:29,0.44.0,1.0,8275.0,75.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",154.0,154.0,75.0,https://pypi.org/project/zenml,8275.0,31,True,3,1.0,,
13,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-08-31 14:24:58,2023-08-31 14:22:19,2132,301.0,236.0,30.0,1482.0,74.0,577.0,2651,2023-08-21 18:46:59,2.0.1,,7545.0,100.0,"Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",126.0,126.0,132.0,https://pypi.org/project/litestar,7545.0,31,True,3,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-08-30 15:49:45,2023-08-30 15:48:32,1266,50.0,72.0,16.0,692.0,65.0,175.0,1421,2023-06-18 17:05:55,0.12.2,,42918.0,77.0,python async orm with fastapi in mind and pydantic validation.,863.0,863.0,33.0,https://pypi.org/project/ormar,42918.0,31,True,2,,,
15,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-08-31 13:34:07,2023-08-21 17:42:56,410,15.0,143.0,15.0,254.0,49.0,245.0,1402,2023-08-03 22:06:19,1.21.0,,107974.0,98.0,Asynchronous Python ODM for MongoDB.,1408.0,1408.0,50.0,https://pypi.org/project/beanie,107974.0,30,True,1,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-08-31 17:58:15,2023-08-30 23:40:42,2098,170.0,185.0,90.0,2558.0,188.0,707.0,2761,2023-08-30 22:19:28,8.7.1,15325.0,3139.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,11.0,11.0,33.0,https://pypi.org/project/onefuzz,2689.0,29,True,1,,,
17,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-08-31 14:41:59,2023-08-30 12:09:08,2766,334.0,307.0,58.0,2095.0,70.0,687.0,2294,2023-08-25 16:17:36,2.23.1,15.0,0.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1744.0,1744.0,121.0,https://pypi.org/project/aws-lambda-powertools-python,,28,False,1,,,aws-powertools/powertools-lambda-python
18,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-08-31 09:39:58,2023-08-31 09:26:30,1458,100.0,189.0,27.0,859.0,115.0,92.0,2134,2023-08-24 13:58:56,0.10.22,,21.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",215.0,215.0,52.0,https://pypi.org/project/robusta,21.0,28,True,1,,,
19,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-08-25 15:48:53,2023-08-25 15:48:14,1711,27.0,74.0,13.0,412.0,89.0,234.0,1092,2023-07-21 14:07:59,0.119.0,,12002.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",276.0,276.0,42.0,https://pypi.org/project/piccolo,12002.0,28,True,3,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-08-31 11:24:41,2023-08-31 11:24:40,4156,653.0,109.0,10.0,764.0,123.0,244.0,1368,2023-08-22 10:30:43,0.10.0,,,79.0,Open-source data observability for analytics engineers.,24.0,24.0,55.0,https://pypi.org/project/elementary,,25,True,1,1.0,,
21,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-07-24 09:04:04,2023-07-24 08:58:14,279,34.0,33.0,14.0,77.0,1.0,56.0,159,,,,81428.0,,Pydantic data models for the GeoJSON spec.,271.0,271.0,22.0,https://pypi.org/project/geojson-pydantic,81428.0,24,True,1,,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-08-28 03:17:17,2023-07-18 14:50:38,549,13.0,80.0,19.0,363.0,106.0,83.0,815,2023-07-18 14:52:05,0.2.1,,,17.0,"Object mapping, and more, for Redis and Python.",625.0,625.0,22.0,https://pypi.org/project/redis-om-python,,22,True,1,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-08-28 17:24:17,2023-08-24 16:33:27,191,83.0,10.0,4.0,71.0,6.0,29.0,75,2023-08-24 16:37:41,2.1.0,,33299.0,20.0,python xml for humans.,26.0,26.0,6.0,https://pypi.org/project/pydantic-xml,33299.0,22,True,1,,,
24,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-08-04 06:43:27,2023-01-02 16:09:46,148,,46.0,5.0,36.0,17.0,22.0,298,,,,100900.0,,flask extension for integration with the awesome pydantic package.,454.0,454.0,12.0,https://pypi.org/project/flask-pydantic,100900.0,21,True,2,,,
