,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-08-17 17:32:50,2023-08-17 16:56:34,13727,798.0,20857.0,1050.0,12772.0,596.0,11888.0,110327,2023-07-18 20:16:04,4.31.0,142.0,15518000.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",92001.0,92001.0,2081.0,https://pypi.org/project/transformers,15517997.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-08-17 08:52:41,2023-08-17 08:52:40,3148,315.0,5029.0,639.0,2544.0,19.0,3324.0,61536,2023-08-14 10:08:44,0.101.1,,20307587.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",220604.0,220604.0,488.0,https://pypi.org/project/fastapi,20307587.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-08-17 17:59:37,2023-08-17 17:52:25,18687,1295.0,4530.0,458.0,23307.0,2868.0,12103.0,27122,2023-08-15 16:40:29,ray-2.6.3,86.0,2176323.0,71.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,10955.0,10955.0,900.0,https://pypi.org/project/ray,2176322.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-08-16 15:36:53,2023-08-16 15:28:34,15982,65.0,4084.0,551.0,3845.0,75.0,5384.0,26886,2023-08-08 14:45:58,3.6.1,,5988367.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,66766.0,66766.0,735.0,https://pypi.org/project/spacy,5988367.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-08-17 17:59:30,2023-08-17 17:08:06,14918,383.0,1271.0,154.0,5866.0,520.0,3500.0,12581,2023-08-03 20:28:47,2.11.3,,671580.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3567.0,3567.0,187.0,https://pypi.org/project/prefect,671580.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-08-14 13:17:49,2023-08-10 23:03:11,8426,106.0,2105.0,201.0,4082.0,14.0,1878.0,18971,2023-08-10 15:51:36,3.20.1,,240816.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",888.0,888.0,171.0,https://pypi.org/project/jina,240816.0,40,True,1,1.0,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,444.0,142.0,252.0,178.0,146.0,10452,2022-08-30 17:56:11,0.0.8,,509159.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6878.0,6878.0,53.0,https://pypi.org/project/sqlmodel,509159.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-08-17 14:51:54,2023-08-17 14:50:14,897,64.0,283.0,68.0,221.0,168.0,366.0,4789,2023-06-08 15:42:14,0.22.2,,152408.0,33.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1545.0,1545.0,95.0,https://pypi.org/project/django-ninja,152408.0,33,True,1,,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-16 19:03:27,2023-08-15 09:22:02,2923,210.0,433.0,44.0,2160.0,309.0,489.0,3385,2023-08-15 09:22:31,0.204.0,371.0,533.0,100.0,A GraphQL library for Python that leverages type annotations.,2110.0,2110.0,219.0,https://pypi.org/project/strawberry,459.0,33,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-08-16 03:30:48,2023-08-16 03:30:17,887,93.0,206.0,22.0,1115.0,77.0,270.0,1776,2023-08-09 18:39:06,0.21.4,,537784.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",845.0,845.0,87.0,https://pypi.org/project/datamodel-code-generator,537784.0,33,True,1,,,
