,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-03-21 17:57:16,2024-03-21 16:37:33,15420,607.0,23360.0,1087.0,15096.0,790.0,13538.0,122554,2024-03-21 01:18:35,4.39.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",149331.0,149331.0,2483.0,https://pypi.org/project/transformers,22502975.0,22502975.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-03-21 13:03:49,2024-03-21 01:11:12,3853,517.0,5752.0,659.0,3146.0,41.0,3354.0,69577,2024-02-24 23:20:47,0.110.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",326893.0,326893.0,601.0,https://pypi.org/project/fastapi,35817321.0,35817321.0,47,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-03-21 18:01:11,2024-03-21 18:01:10,21084,842.0,5055.0,471.0,26837.0,3112.0,13971.0,30460,2024-02-22 19:57:55,ray-2.9.3,79.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,14324.0,14324.0,986.0,https://pypi.org/project/ray,3503286.0,3503288.0,44,True,1,208.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-03-20 22:55:23,2024-02-20 12:17:51,16117,25.0,4186.0,554.0,3968.0,82.0,5483.0,28482,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,83081.0,83081.0,748.0,https://pypi.org/project/spacy,6948539.0,6948539.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-03-21 18:04:33,2024-03-21 17:54:07,16055,520.0,1413.0,156.0,7190.0,605.0,4000.0,14306,2024-03-14 21:22:31,2.16.4,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4605.0,4605.0,233.0,https://pypi.org/project/prefect,786224.0,786224.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-03-20 23:04:00,2024-03-20 23:03:58,8530,21.0,2157.0,206.0,4167.0,12.0,1920.0,19799,2024-03-20 09:39:13,3.24.1,100.0,Build multimodal AI applications with cloud-native stack.,1701.0,1701.0,176.0,https://pypi.org/project/jina,49693.0,49693.0,38,True,1,,-1.0,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-03-19 01:17:11,2024-03-13 19:31:41,378,11.0,523.0,152.0,338.0,174.0,153.0,12638,2024-02-17 13:54:28,0.0.16,15.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",10548.0,10548.0,71.0,https://pypi.org/project/sqlmodel,1186393.0,1186393.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-03-21 00:49:36,2024-03-21 00:47:28,2664,179.0,312.0,35.0,2110.0,126.0,804.0,4267,2024-03-10 17:07:49,2.7.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",433.0,433.0,182.0,https://pypi.org/project/litestar,869542.0,869542.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-03-20 01:42:24,2024-03-16 17:28:14,1075,44.0,251.0,23.0,1371.0,134.0,344.0,2217,2024-03-16 17:17:16,0.25.5,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1120.0,1120.0,114.0,https://pypi.org/project/datamodel-code-generator,817891.0,817891.0,34,True,1,,,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-03-21 16:59:54,2024-03-21 15:29:11,6387,246.0,382.0,40.0,2265.0,35.0,237.0,3590,2024-03-21 16:40:50,0.56.1,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",442.0,442.0,90.0,https://pypi.org/project/zenml,27477.0,27477.0,33,True,3,1.0,,,
