,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-02-09 07:14:06,2023-02-08 10:30:01,2656,148.0,4395.0,619.0,2108.0,912.0,2397.0,54316.0,2023-02-08 10:33:58,0.90.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",129806.0,129806.0,411.0,https://pypi.org/project/fastapi,11573220.0,11573220.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-02-09 18:03:51,2023-02-09 17:55:24,13893,575.0,1090.0,154.0,4690.0,674.0,2596.0,11277.0,2023-02-06 22:32:46,2.7.12,100.0,The easiest way to coordinate your dataflow.,1939.0,1939.0,125.0,https://pypi.org/project/prefect,624215.0,624215.0,40,True,1,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-02-09 12:17:57,2023-02-07 09:27:49,756,40.0,254.0,60.0,183.0,138.0,303.0,4026.0,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",999.0,999.0,74.0,https://pypi.org/project/django-ninja,83980.0,83980.0,32,True,1,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-02-09 16:44:12,2023-02-09 16:44:08,2564,128.0,353.0,43.0,1798.0,247.0,408.0,2927.0,2023-02-09 16:44:28,0.156.2,100.0,A GraphQL library for Python that leverages type annotations.,1052.0,1052.0,177.0,https://pypi.org/project/strawberry,369.0,427.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,412.0,
4,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-07 12:11:10,2023-02-03 17:53:01,234,12.0,396.0,123.0,224.0,178.0,144.0,9351.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2874.0,2874.0,54.0,https://pypi.org/project/sqlmodel,304494.0,304494.0,31,True,1,,,
5,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-02-09 18:02:37,2023-02-09 17:55:28,703,147.0,154.0,18.0,823.0,40.0,218.0,1394.0,2023-02-06 17:56:33,0.17.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",400.0,400.0,60.0,https://pypi.org/project/datamodel-code-generator,199597.0,199597.0,31,True,1,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-01-30 21:26:53,2023-01-30 21:26:52,511,9.0,159.0,13.0,468.0,162.0,361.0,1959.0,2022-11-02 15:32:11,0.13.4,55.0,"A light-weight, flexible, and expressive statistical data testing library.",506.0,506.0,79.0,https://pypi.org/project/pandera,570446.0,570446.0,30,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,-1.0
7,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/starlite-api/pydantic-factories,https://github.com/starlite-api/pydantic-factories,MIT,2021-11-13 16:39:26,2023-02-09 07:31:38,2023-02-09 07:31:38,302,13.0,31.0,11.0,64.0,6.0,64.0,421.0,2023-01-15 19:32:30,1.17.1,61.0,Simple and powerful mock data generation using pydantic or dataclasses.,156.0,156.0,28.0,https://pypi.org/project/pydantic-factories,185444.0,185444.0,26,True,1,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-02-09 15:25:25,2023-02-09 15:23:25,377,28.0,101.0,16.0,206.0,67.0,140.0,1065.0,2023-02-09 15:25:23,1.18.0b1,91.0,Asynchronous Python ODM for MongoDB.,577.0,577.0,38.0,https://pypi.org/project/beanie,45755.0,45755.0,25,True,1,,,
9,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-02-09 16:36:30,2023-02-09 09:22:05,2050,211.0,243.0,57.0,1208.0,72.0,482.0,1907.0,2023-02-01 13:46:56,2.7.1,86.0,"A suite of utilities for AWS Lambda Functions that makes distributed tracing, structured logging, custom metrics,..",,,90.0,https://pypi.org/project/aws-lambda-powertools-python,,,24,False,1,,,
