,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-08-03 18:04:44,2023-08-03 15:05:02,13599,811.0,20684.0,1049.0,12622.0,600.0,11758.0,109575,2023-07-18 20:16:04,4.31.0,142.0,14127616.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",88450.0,88450.0,2058.0,https://pypi.org/project/transformers,14127613.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-08-03 16:00:20,2023-08-03 16:00:19,3093,281.0,4984.0,641.0,2500.0,20.0,3320.0,61068,2023-07-27 19:17:11,0.100.1,,18742636.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",214573.0,214573.0,478.0,https://pypi.org/project/fastapi,18742636.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-08-03 18:02:46,2023-08-03 18:02:01,18424,1241.0,4496.0,455.0,22971.0,2872.0,11949.0,26868,2023-07-24 05:07:30,ray-2.6.1,86.0,2152199.0,69.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,10761.0,10761.0,896.0,https://pypi.org/project/ray,2152198.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-08-03 06:38:18,2023-08-03 06:37:43,15975,80.0,4078.0,549.0,3827.0,71.0,5381.0,26788,2023-07-07 08:32:23,3.6.0,,5617039.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,65346.0,65346.0,733.0,https://pypi.org/project/spacy,5617039.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-08-03 17:54:29,2023-08-02 22:28:59,14885,434.0,1260.0,153.0,5822.0,516.0,3482.0,12456,2023-08-01 19:58:05,2.11.2,,667670.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3478.0,3478.0,186.0,https://pypi.org/project/prefect,667670.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-08-03 16:52:19,2023-08-03 13:47:38,8414,124.0,2102.0,203.0,4074.0,13.0,1871.0,18903,2023-07-19 07:55:45,3.19.1,,337044.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",846.0,846.0,170.0,https://pypi.org/project/jina,337044.0,39,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-01 15:34:26,2023-08-01 09:19:41,246,10.0,433.0,140.0,248.0,178.0,146.0,10359,2022-08-30 17:56:11,0.0.8,,471311.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6740.0,6740.0,53.0,https://pypi.org/project/sqlmodel,471311.0,33,True,1,1.0,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-08-02 10:08:49,2023-08-02 10:08:49,893,69.0,280.0,69.0,220.0,163.0,360.0,4729,2023-06-08 15:42:14,0.22.2,,140648.0,31.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1513.0,1513.0,95.0,https://pypi.org/project/django-ninja,140648.0,33,True,1,,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-03 13:45:30,2023-08-03 13:45:28,2897,196.0,427.0,44.0,2131.0,305.0,487.0,3356,2023-08-03 13:45:53,0.199.2,386.0,583.0,100.0,A GraphQL library for Python that leverages type annotations.,2068.0,2068.0,217.0,https://pypi.org/project/strawberry,506.0,33,True,1,1.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-08-03 17:47:46,2023-08-03 00:05:50,875,82.0,199.0,22.0,1102.0,80.0,260.0,1750,2023-08-03 17:47:46,0.21.3,,476461.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",828.0,828.0,83.0,https://pypi.org/project/datamodel-code-generator,476461.0,33,True,1,,,
