,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
19,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-04-25 04:56:47,2024-03-23 16:03:46,554,20.0,88.0,19.0,282.0,66.0,87.0,974,2024-03-18 04:24:30,1.0.1,20.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3243.0,3243.0,19.0,https://pypi.org/project/odmantic,27075.0,27075.0,26,True,3,,,,
20,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,,192.0,91.0,2666.0,192.0,736.0,2809,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,891.0,1312.0,25,True,1,1.0,17722.0,,
21,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-04-25 17:58:09,2024-04-25 16:49:51,4834,163.0,144.0,10.0,1016.0,203.0,279.0,1739,2024-02-29 10:20:40,0.14.1,87.0,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes...,59.0,59.0,69.0,https://pypi.org/project/elementary,,,25,True,1,-1.0,,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-04-24 18:17:52,2024-03-26 19:14:49,553,3.0,103.0,23.0,379.0,127.0,96.0,1010,2024-03-26 18:34:10,0.2.2,18.0,"Object mapping, and more, for Redis and Python.",880.0,880.0,26.0,https://pypi.org/project/redis-om-python,,,23,True,1,,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-04-18 19:27:03,2024-04-18 19:26:24,278,16.0,14.0,4.0,112.0,11.0,65.0,131,2024-04-18 19:31:02,2.9.2,35.0,python xml for humans.,88.0,88.0,9.0,https://pypi.org/project/pydantic-xml,70453.0,70453.0,23,True,1,,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-04-25 06:01:33,2021-05-06 12:10:38,127,,156.0,48.0,64.0,1.0,30.0,3013,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",48.0,48.0,4.0,https://pypi.org/project/opyrator,389.0,389.0,22,True,3,,,,
25,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2024-02-07 01:01:21,2024-01-08 16:14:23,162,,55.0,7.0,45.0,20.0,25.0,337,,,,flask extension for integration with the awesome pydantic package.,585.0,585.0,13.0,https://pypi.org/project/flask-pydantic,168784.0,168784.0,22,True,2,,,,
26,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2024-01-16 18:12:09,2024-01-16 18:10:37,293,,33.0,14.0,79.0,3.0,62.0,204,,,,Pydantic data models for the GeoJSON spec.,351.0,351.0,23.0,https://pypi.org/project/geojson-pydantic,195146.0,195146.0,22,True,1,,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120,,34.0,7.0,38.0,13.0,28.0,436,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,69.0,69.0,4.0,https://pypi.org/project/djantic,23547.0,23547.0,21,True,2,,,,
28,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2024-03-20 17:56:37,2024-02-03 15:46:48,270,10.0,41.0,8.0,61.0,9.0,33.0,219,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,23.0,https://pypi.org/project/graphene-pydantic,14584.0,14584.0,19,True,3,,,,
29,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2024-04-22 17:55:23,2024-04-22 17:55:22,177,30.0,8.0,3.0,128.0,1.0,2.0,76,2024-01-21 22:09:18,2.0.1,10.0,Pydantic model support for Django & Django-Rest-Framework.,11.0,11.0,7.0,https://pypi.org/project/pyngo,5132.0,5132.0,18,True,3,,,,
30,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165,,14.0,5.0,42.0,6.0,18.0,219,2023-10-03 08:00:16,0.0.47,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",14.0,14.0,9.0,https://pypi.org/project/pydbantic,2169.0,2169.0,17,True,3,,,,
31,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2024-03-20 13:49:09,2024-03-20 13:45:50,414,4.0,5.0,4.0,54.0,3.0,24.0,61,2024-03-20 13:49:09,0.2.40,89.0,Awesome python HTTP-clients from OpenAPI.,,,13.0,https://pypi.org/project/pythogen,3066.0,3066.0,17,True,1,,,,
32,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,2.0,,,,12,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,482.0,482.0,28.0,https://pypi.org/project/pydantic-factories,120829.0,120829.0,17,True,1,,,,litestar-org/pydantic-factories
33,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-07-29 13:51:20,2023-07-29 13:51:20,95,,4.0,33.0,38.0,25.0,4.0,197,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,10.0,10.0,2.0,https://pypi.org/project/patito,5402.0,5402.0,16,True,1,1.0,,,
34,pydantic-aioredis,andrewthetechie/pydantic-aioredis,pydantic-aioredis,[],databases-key-value,https://github.com/andrewthetechie/pydantic-aioredis,https://github.com/andrewthetechie/pydantic-aioredis,,2021-08-06 19:12:00,2024-04-25 05:06:24,2024-03-17 22:24:33,736,10.0,4.0,2.0,819.0,1.0,25.0,51,2023-03-30 03:30:46,1.2.3,26.0,A Declarative ORM for Redis using Pydantic Models and aioredis.,6.0,6.0,6.0,https://pypi.org/project/pydantic-aioredis,1444.0,1444.0,15,True,3,,,,
