,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-11-16 17:31:35,2023-11-16 16:43:19,14520,777.0,21928.0,1073.0,13886.0,685.0,12629.0,115278,2023-11-15 16:39:42,4.35.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",114216.0,114216.0,2258.0,https://pypi.org/project/transformers,17854862.0,17854862.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-11-15 11:54:04,2023-11-04 02:03:01,3314,166.0,5299.0,644.0,2815.0,29.0,3340.0,64665,2023-10-30 10:05:55,0.104.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",264014.0,264014.0,514.0,https://pypi.org/project/fastapi,23311834.0,23311834.0,45,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-11-16 17:52:19,2023-11-16 17:44:00,19844,1125.0,4742.0,468.0,25028.0,3073.0,12819.0,28656,2023-11-03 00:55:09,ray-2.8.0,74.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12288.0,12288.0,940.0,https://pypi.org/project/ray,2496231.0,2496232.0,44,True,1,113.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-11-15 08:44:20,2023-11-10 07:05:07,16071,70.0,4139.0,567.0,3914.0,75.0,5426.0,27576,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,74001.0,74001.0,743.0,https://pypi.org/project/spacy,6652579.0,6652579.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-11-16 16:54:25,2023-11-16 15:52:02,15355,428.0,1336.0,155.0,6363.0,569.0,3699.0,13323,2023-11-09 21:51:26,2.14.4,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3985.0,3985.0,206.0,https://pypi.org/project/prefect,629564.0,629564.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-11-15 15:11:27,2023-11-15 15:11:25,8492,66.0,2139.0,206.0,4136.0,15.0,1901.0,19326,2023-10-31 14:36:40,3.22.4,100.0,Build multimodal AI applications with cloud-native stack.,1291.0,1291.0,177.0,https://pypi.org/project/jina,86153.0,86153.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-11-15 09:12:58,2023-11-08 16:04:47,331,85.0,469.0,148.0,282.0,173.0,153.0,11252,2023-10-29 09:58:11,0.0.11,10.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8150.0,8150.0,71.0,https://pypi.org/project/sqlmodel,617176.0,617176.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-11-16 16:53:36,2023-11-16 05:24:59,2380,292.0,270.0,34.0,1757.0,83.0,693.0,3404,2023-11-06 19:50:24,2.3.2,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",255.0,255.0,154.0,https://pypi.org/project/litestar,17354.0,17354.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-11-16 17:30:57,2023-11-16 11:00:28,976,89.0,229.0,21.0,1254.0,114.0,297.0,1941,2023-11-16 11:02:02,0.24.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",965.0,965.0,100.0,https://pypi.org/project/datamodel-code-generator,611225.0,611225.0,34,True,1,,,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-11-16 17:28:22,2023-11-14 19:51:06,6030,193.0,329.0,40.0,1822.0,13.0,201.0,3249,2023-11-14 20:05:10,0.47.0,89.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",223.0,223.0,80.0,https://pypi.org/project/zenml,12323.0,12323.0,33,True,3,1.0,1.0,,
10,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-11-16 13:56:10,2023-10-17 11:40:34,2699,6.0,1117.0,211.0,1042.0,18.0,613.0,6395,2023-10-17 11:41:15,1.4.0,61.0,An open source library for deep learning end-to-end dialog systems and chatbots.,362.0,362.0,76.0,https://pypi.org/project/deeppavlov,10522.0,10522.0,32,True,3,,-1.0,,
11,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-11-16 17:58:02,2023-11-16 17:01:07,979,81.0,312.0,71.0,248.0,184.0,409.0,5203,2023-11-16 16:59:43,1.0,37.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1779.0,1779.0,108.0,https://pypi.org/project/django-ninja,216475.0,216475.0,32,True,1,,-1.0,,
12,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-11-16 16:18:33,2023-11-16 16:02:18,3002,79.0,456.0,43.0,2283.0,341.0,512.0,3521,2023-11-15 13:53:02,0.214.0,100.0,A GraphQL library for Python that leverages type annotations.,2431.0,2431.0,230.0,https://pypi.org/project/strawberry,689.0,765.0,32,True,1,460.0,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
13,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-11-16 17:30:36,2023-11-11 20:41:25,614,32.0,229.0,17.0,595.0,277.0,419.0,2673,2023-09-30 03:45:48,0.17.2,76.0,"A light-weight, flexible, and expressive statistical data testing library.",1127.0,1127.0,107.0,https://pypi.org/project/pandera,1282360.0,1282360.0,32,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
14,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-11-16 04:00:41,2023-11-13 03:48:56,446,37.0,163.0,18.0,290.0,50.0,277.0,1546,2023-11-13 03:49:48,1.23.6,100.0,Asynchronous Python ODM for MongoDB.,1664.0,1664.0,63.0,https://pypi.org/project/beanie,150889.0,150889.0,31,True,1,,,,
15,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-11-16 02:57:47,2023-10-26 02:11:20,1297,36.0,76.0,16.0,734.0,66.0,176.0,1477,2023-06-18 17:05:55,0.12.2,77.0,python async orm with fastapi in mind and pydantic validation.,918.0,918.0,33.0,https://pypi.org/project/ormar,25136.0,25136.0,30,True,2,,,,
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-11-10 20:52:07,2023-11-10 20:52:07,1728,19.0,77.0,14.0,420.0,91.0,240.0,1163,2023-11-10 17:30:54,1.1.1,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",297.0,297.0,42.0,https://pypi.org/project/piccolo,22029.0,22029.0,29,True,3,,,,
17,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,84.0,191.0,91.0,2666.0,192.0,736.0,2779,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,377.0,848.0,28,True,1,17456.0,2.0,,
18,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-11-16 16:14:13,2023-11-16 16:13:10,3018,282.0,322.0,55.0,2377.0,62.0,732.0,2391,2023-11-16 15:56:59,2.27.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1888.0,1888.0,136.0,https://pypi.org/project/aws-lambda-powertools-python,,0.0,28,False,1,26.0,,,aws-powertools/powertools-lambda-python
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-11-16 17:31:52,2023-11-16 17:31:51,1531,88.0,208.0,29.0,937.0,130.0,104.0,2246,2023-10-22 17:06:18,0.10.25,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",217.0,217.0,62.0,https://pypi.org/project/robusta,32.0,32.0,28,True,1,,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-11-16 16:28:07,2023-11-16 13:02:02,4457,376.0,123.0,11.0,866.0,161.0,256.0,1515,2023-10-26 17:16:48,0.12.0,81.0,Open-source data observability for analytics engineers.,38.0,38.0,62.0,https://pypi.org/project/elementary,,,25,True,1,,,,
21,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-11-15 16:33:20,2023-11-03 20:39:38,482,4.0,78.0,20.0,216.0,55.0,81.0,852,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3110.0,3110.0,16.0,https://pypi.org/project/odmantic,14021.0,14021.0,24,True,3,,-1.0,,
22,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-10-04 19:51:04,2023-10-04 19:50:46,283,4.0,33.0,14.0,78.0,2.0,59.0,172,,,,Pydantic data models for the GeoJSON spec.,299.0,299.0,22.0,https://pypi.org/project/geojson-pydantic,124156.0,124156.0,23,True,1,,,,
