,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-01-04 17:36:21,2024-01-04 17:36:16,14830,684.0,22455.0,1070.0,14302.0,720.0,12971.0,118125,2023-12-18 18:44:02,4.36.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",127161.0,127161.0,2333.0,https://pypi.org/project/transformers,18251360.0,18251360.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-01-04 16:58:29,2023-12-26 20:47:18,3354,105.0,5445.0,655.0,2940.0,33.0,3343.0,66618,2023-12-26 20:24:45,0.108.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",288147.0,288147.0,516.0,https://pypi.org/project/fastapi,25898956.0,25898956.0,46,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-01-04 17:40:47,2024-01-04 07:47:03,20273,891.0,4851.0,464.0,25684.0,3015.0,13194.0,29312,2023-12-21 00:32:08,ray-2.9.0,76.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13075.0,13075.0,957.0,https://pypi.org/project/ray,2566148.0,2566150.0,44,True,1,172.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-01-02 09:03:06,2024-01-02 09:03:06,16084,31.0,4150.0,555.0,3931.0,75.0,5444.0,27920,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,77523.0,77523.0,746.0,https://pypi.org/project/spacy,5894582.0,5894582.0,44,True,1,,-1.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-01-04 17:55:14,2024-01-04 17:02:55,15561,371.0,1363.0,159.0,6606.0,612.0,3768.0,13701,2023-12-20 22:59:20,2.14.12,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4187.0,4187.0,211.0,https://pypi.org/project/prefect,546465.0,546465.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-01-02 16:44:55,2023-12-14 23:03:21,8509,43.0,2150.0,206.0,4153.0,12.0,1910.0,19527,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1435.0,1435.0,176.0,https://pypi.org/project/jina,106663.0,106663.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-12-31 16:48:24,2023-12-10 20:20:18,367,121.0,496.0,155.0,312.0,173.0,153.0,11912,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8971.0,8971.0,71.0,https://pypi.org/project/sqlmodel,535225.0,535225.0,37,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-01-04 18:03:45,2024-01-04 15:38:37,2498,281.0,289.0,32.0,1935.0,97.0,748.0,3780,2023-12-23 14:54:17,2.4.5,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",328.0,328.0,166.0,https://pypi.org/project/litestar,19768.0,19768.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-01-03 01:37:16,2023-12-27 04:19:04,1034,107.0,235.0,22.0,1321.0,102.0,333.0,2038,2023-12-21 18:11:18,0.25.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1027.0,1027.0,105.0,https://pypi.org/project/datamodel-code-generator,529055.0,529055.0,34,True,1,,,,
9,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-12-27 14:49:16,2023-12-27 14:04:05,2705,11.0,1116.0,209.0,1045.0,19.0,613.0,6436,2023-12-27 14:49:16,1.5.0,62.0,An open source library for deep learning end-to-end dialog systems and chatbots.,370.0,370.0,76.0,https://pypi.org/project/deeppavlov,8460.0,8460.0,33,True,3,,,,
