,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-06-08 13:19:31,2023-06-07 20:44:47,2868,135.0,4780.0,635.0,2317.0,18.0,3307.0,58858,2023-06-03 14:35:48,0.96.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",191809.0,191809.0,451.0,https://pypi.org/project/fastapi,16467980.0,16467980.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-06-08 18:03:34,2023-06-08 16:18:29,14640,551.0,1204.0,152.0,5529.0,483.0,3323.0,12103,2023-06-01 20:52:56,2.10.12,100.0,The easiest way to orchestrate and observe your data pipelines.,3041.0,3041.0,159.0,https://pypi.org/project/prefect,669306.0,669306.0,42,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-06-08 15:42:14,2023-06-08 15:37:52,846,53.0,271.0,62.0,214.0,153.0,342.0,4466,2023-06-08 15:42:14,0.22.2,30.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1396.0,1396.0,93.0,https://pypi.org/project/django-ninja,106237.0,106237.0,33,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-06-08 17:12:04,2023-06-08 17:12:02,2754,146.0,402.0,46.0,2001.0,285.0,461.0,3247,2023-06-08 17:12:23,0.183.5,100.0,A GraphQL library for Python that leverages type annotations.,1893.0,1893.0,205.0,https://pypi.org/project/strawberry,408.0,469.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,433.0,,
4,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-06-08 14:51:33,2023-06-07 17:30:48,549,34.0,192.0,16.0,514.0,198.0,394.0,2366,2023-05-09 22:04:08,0.15.1,65.0,"A light-weight, flexible, and expressive statistical data testing library.",870.0,870.0,95.0,https://pypi.org/project/pandera,855872.0,855872.0,32,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-05-31 21:04:00,2023-02-21 11:02:54,236,,415.0,133.0,237.0,177.0,146.0,9992,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6118.0,6118.0,53.0,https://pypi.org/project/sqlmodel,405759.0,405759.0,31,True,1,,,,
6,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-06-08 15:04:33,2023-06-08 15:04:01,826,100.0,182.0,20.0,1029.0,54.0,248.0,1641,2023-06-06 15:19:45,0.20.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",735.0,735.0,73.0,https://pypi.org/project/datamodel-code-generator,276587.0,276587.0,31,True,1,,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-06-08 17:37:41,2023-06-08 12:50:16,2452,314.0,285.0,59.0,1591.0,77.0,589.0,2138,2023-06-06 10:04:41,2.16.2,98.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1572.0,1572.0,110.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-06-04 17:17:41,2023-05-26 12:15:34,395,18.0,115.0,16.0,229.0,26.0,229.0,1232,2023-05-26 12:22:50,1.19.2,96.0,Asynchronous Python ODM for MongoDB.,1120.0,1120.0,47.0,https://pypi.org/project/beanie,59223.0,59223.0,29,True,1,,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-06-08 17:20:59,2023-06-08 13:01:39,3483,391.0,89.0,9.0,618.0,101.0,206.0,1224,2023-06-04 15:11:24,0.8.1,73.0,Open-source data observability for analytics engineers.,22.0,22.0,47.0,https://pypi.org/project/elementary,,,25,True,1,,,,
10,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-05-31 13:36:06,2023-05-31 13:36:01,245,37.0,30.0,13.0,68.0,3.0,46.0,141,,,,Pydantic data models for the GeoJSON spec.,252.0,252.0,20.0,https://pypi.org/project/geojson-pydantic,60773.0,60773.0,22,True,1,,,1.0,
11,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-04-18 05:29:38,2023-01-03 19:16:25,478,,73.0,22.0,211.0,45.0,80.0,797,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,13929.0,13929.0,21,True,3,,,,
12,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-06-04 13:56:44,2023-01-02 16:09:46,148,,40.0,4.0,35.0,16.0,22.0,282,,,,flask extension for integration with the awesome pydantic package.,406.0,406.0,12.0,https://pypi.org/project/flask-pydantic,178116.0,178116.0,21,True,2,,,,
13,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,27.0,7.0,36.0,11.0,27.0,356,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,53.0,53.0,4.0,https://pypi.org/project/djantic,10692.0,10692.0,20,True,2,,,,
14,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-04-15 22:14:37,2023-04-15 22:09:50,159,5.0,11.0,5.0,34.0,1.0,16.0,201,2023-04-15 22:14:37,0.0.41,31.0,"A single model for shaping, creating, accessing, storing data within a Database.",12.0,12.0,9.0,https://pypi.org/project/pydbantic,1329.0,1329.0,19,True,3,,,1.0,
15,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,3.0,,1.0,,,,9,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,398.0,398.0,28.0,https://pypi.org/project/pydantic-factories,132213.0,132213.0,18,True,1,,,,litestar-org/pydantic-factories
16,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-05-17 15:30:52,2023-01-09 02:42:44,186,,39.0,8.0,49.0,10.0,27.0,187,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,16.0,https://pypi.org/project/graphene-pydantic,8796.0,8796.0,17,True,3,,,,
17,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-06-01 20:16:47,2023-04-15 15:01:50,106,5.0,8.0,2.0,37.0,5.0,15.0,58,2023-04-15 15:03:45,0.6.1,9.0,pydantic xml extension.,18.0,18.0,4.0,https://pypi.org/project/pydantic-xml,19150.0,19150.0,17,True,1,,,,
18,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-06-08 12:54:51,2023-06-08 12:54:50,166,21.0,3.0,3.0,29.0,7.0,12.0,42,2023-06-08 12:31:29,0.1.19,36.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,7.0,https://pypi.org/project/pythogen,1280.0,1280.0,17,True,1,,,1.0,
19,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-04-03 08:11:31,2022-12-15 10:03:27,92,,5.0,26.0,34.0,26.0,2.0,185,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,1.0,1.0,,https://pypi.org/project/patito,958.0,958.0,14,True,1,,,,
20,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-05-30 19:13:46,2023-05-30 19:13:44,88,25.0,5.0,2.0,59.0,,1.0,53,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,4672.0,4672.0,14,True,3,,,,
21,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-04-14 16:02:34,2022-10-31 11:41:14,22,,3.0,3.0,36.0,1.0,,16,,,,,5.0,5.0,3.0,https://pypi.org/project/pydantic-spark,19156.0,19156.0,12,False,3,,,,
22,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2022-12-19 10:16:06,2022-12-12 06:10:33,81,,14.0,2.0,24.0,7.0,13.0,53,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,7.0,https://pypi.org/project/aiohttp-pydantic,8104.0,8104.0,11,True,3,,,1.0,
23,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,6,2021-10-14 08:22:48,1.2.1,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,4.0,4.0,3.0,https://pypi.org/project/sanic-pydantic,73.0,73.0,11,True,3,,,,
24,pydantic-numpy,cheind/pydantic-numpy,pydantic-numpy,[],data-structures,https://github.com/cheind/pydantic-numpy,https://github.com/cheind/pydantic-numpy,MIT,2022-03-25 04:15:58,2022-12-09 11:37:55,2022-12-09 11:37:52,55,,4.0,3.0,7.0,2.0,2.0,45,,,,Seamlessly integrate numpy arrays into pydantic models.,,,5.0,https://pypi.org/project/pydantic-numpy,4807.0,4807.0,10,True,3,,,,
25,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,4.0,1.0,2.0,7.0,3.0,37,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,311.0,311.0,10,True,1,,,,
26,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2023-05-03 12:27:56,2023-02-17 08:17:25,111,,5.0,6.0,5.0,5.0,4.0,18,2023-02-20 14:39:56,release-0.3.1,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,,,2.0,https://pypi.org/project/nebula-carina,42.0,42.0,10,True,1,,,,
27,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2022-09-26 16:40:57,2022-09-26 16:40:54,42,,2.0,3.0,9.0,,2.0,15,2022-09-26 16:39:42,0.2.4,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,,,4.0,https://pypi.org/project/pydantic-ssm-settings,1917.0,1918.0,10,True,2,,13.0,,
28,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2023-04-10 20:55:07,2023-04-10 20:44:25,49,3.0,3.0,1.0,13.0,2.0,7.0,6,,,,Pydantic validation for GeoJson.,,,5.0,https://pypi.org/project/pydantic-geojson,4845.0,4845.0,10,True,3,,,,
29,xsdata-pydantic,tefra/xsdata-pydantic,xsdata-pydantic,[],xml,https://github.com/tefra/xsdata-pydantic,https://github.com/tefra/xsdata-pydantic,MIT,2021-11-04 11:15:58,2023-02-26 18:10:56,2023-02-26 18:10:56,21,,1.0,3.0,7.0,3.0,7.0,21,2022-10-02 07:20:59,22.10,1.0,Naive XML & JSON Bindings for python pydantic classes!.,,,,https://pypi.org/project/xsdata-pydantic,967.0,967.0,9,True,3,,,,
30,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2022-11-06 13:35:46,2022-08-19 13:21:50,22,,5.0,5.0,17.0,2.0,,12,2022-08-05 10:56:33,0.3.1,3.0,,,,3.0,https://pypi.org/project/arangodantic,39.0,39.0,9,False,3,,,,
31,pydantic-kms-secrets,nplutt/pydantic-kms-secrets,pydantic-kms-secrets,[],aws,https://github.com/nplutt/pydantic-kms-secrets,https://github.com/nplutt/pydantic-kms-secrets,MIT,2020-07-18 03:41:21,2020-08-16 17:36:45,2020-08-16 17:34:46,15,,1.0,1.0,2.0,,,2,2020-08-16 17:36:45,0.3.0,4.0,Utility to decrypt and encrypt secrets using AWS KMS keys that also integrates with pydantic models which allows for..,,,,https://pypi.org/project/pydantic-kms-secrets,1428.0,1428.0,8,True,3,,,,
32,lambdantic,koxudaxi/lambdantic,lambdantic,[],aws,https://github.com/koxudaxi/lambdantic,https://github.com/koxudaxi/lambdantic,MIT,2019-09-08 13:35:27,2020-04-20 16:29:21,2020-04-20 16:27:49,20,,1.0,4.0,7.0,,,15,2020-04-20 16:29:21,0.0.4,4.0,Pydantic model and lambda event handler for AWS Lambda.,,,2.0,https://pypi.org/project/lambdantic,13.0,13.0,6,True,3,,,,
33,aws-appconfig-pydantic,Validus-Risk-Management/aws-appconfig-pydantic,aws-appconfig-pydantic,[],aws,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,Apache-2.0,2021-09-23 14:21:07,2022-12-27 17:37:38,2022-10-31 12:00:04,27,,1.0,3.0,5.0,,,4,,,,AWS AppConfig + Pydantic.,,,3.0,https://pypi.org/project/aws-appconfig-pydantic,,,6,True,3,,,1.0,
34,jsonapi-pydantic,impocode/jsonapi-pydantic,jsonapi-pydantic,[],jsonapi,https://github.com/impocode/jsonapi-pydantic,https://github.com/impocode/jsonapi-pydantic,MIT,2022-07-22 14:48:18,2022-11-15 13:11:45,2022-11-15 13:11:09,14,,,1.0,,,,1,2022-11-15 13:15:24,0.1.5,6.0,jsonapi-pydantic provides a suite of Pydantic models matching the JSON:API specification.,,,,https://pypi.org/project/jsonapi-pydantic,60.0,61.0,6,True,1,,11.0,,
