,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-07-06 17:57:52,2023-07-06 14:30:23,13360,814.0,20301.0,1034.0,12286.0,577.0,11516.0,106553,2023-06-13 19:29:33,4.30.2,141.0,13190879.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",82550.0,82550.0,2005.0,https://pypi.org/project/transformers,13190876.0,50,True,1,-1.0,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-07-06 11:43:07,2023-07-02 16:00:39,3023,273.0,4885.0,629.0,2420.0,18.0,3317.0,60002,2023-07-02 16:02:54,0.99.1,,15884492.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",203292.0,203292.0,472.0,https://pypi.org/project/fastapi,15884492.0,46,True,1,1.0,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-07-06 17:14:38,2023-07-06 15:02:38,15954,74.0,4060.0,551.0,3800.0,75.0,5359.0,26571,2023-06-28 16:17:49,3.5.4,,4708498.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,63688.0,63688.0,728.0,https://pypi.org/project/spacy,4708498.0,44,True,1,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-07-06 18:05:35,2023-07-06 17:02:59,18093,1334.0,4439.0,450.0,22412.0,2726.0,11730.0,26468,2023-06-21 18:09:41,ray-2.5.1,84.0,2096776.0,67.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,10393.0,10393.0,879.0,https://pypi.org/project/ray,2096775.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-07-06 17:57:19,2023-07-06 16:44:30,14783,473.0,1239.0,155.0,5711.0,499.0,3419.0,12275,2023-06-29 18:53:00,2.10.18,,688354.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3294.0,3294.0,178.0,https://pypi.org/project/prefect,688354.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-07-06 17:31:45,2023-07-06 13:23:16,8370,121.0,2099.0,200.0,4032.0,13.0,1851.0,18725,2023-06-22 13:34:26,3.18.0,,509790.0,100.0,Build multimodal AI services via cloud native technologies.,738.0,738.0,169.0,https://pypi.org/project/jina,509790.0,40,True,1,1.0,,
6,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-07-03 12:22:04,2023-06-08 15:37:52,846,36.0,276.0,69.0,215.0,157.0,345.0,4589,2023-06-08 15:42:14,0.22.2,,120803.0,30.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1466.0,1466.0,93.0,https://pypi.org/project/django-ninja,120803.0,32,True,1,-1.0,,
7,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-06 00:57:18,2023-07-05 21:13:37,2827,169.0,414.0,45.0,2067.0,299.0,478.0,3292,2023-07-05 21:14:08,0.193.1,367.0,679.0,100.0,A GraphQL library for Python that leverages type annotations.,1981.0,1981.0,210.0,https://pypi.org/project/strawberry,606.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
8,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-07-06 14:40:12,2023-07-06 04:39:36,561,29.0,197.0,16.0,533.0,206.0,399.0,2417,2023-05-09 22:04:08,0.15.1,,893429.0,67.0,"A light-weight, flexible, and expressive statistical data testing library.",914.0,914.0,100.0,https://pypi.org/project/pandera,893429.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-07-06 07:24:20,2023-07-06 07:06:49,851,100.0,187.0,22.0,1070.0,62.0,251.0,1689,2023-07-06 07:24:20,0.21.1,,349370.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",783.0,783.0,75.0,https://pypi.org/project/datamodel-code-generator,349370.0,32,True,1,1.0,,
