,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-08-24 18:05:37,2023-08-24 16:58:37,13797,805.0,20929.0,1054.0,12868.0,592.0,11958.0,110660,2023-08-22 13:11:09,4.32.0,142.0,15675347.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",94067.0,94067.0,2089.0,https://pypi.org/project/transformers,15675344.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-08-23 11:25:55,2023-08-19 19:54:40,3160,327.0,5054.0,639.0,2557.0,20.0,3325.0,61772,2023-08-14 10:08:44,0.101.1,,21035750.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",223918.0,223918.0,488.0,https://pypi.org/project/fastapi,21035750.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-08-24 18:05:39,2023-08-24 17:51:38,18832,1320.0,4546.0,459.0,23477.0,2922.0,12153.0,27240,2023-08-15 16:40:29,ray-2.6.3,86.0,3079374.0,71.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11021.0,11021.0,906.0,https://pypi.org/project/ray,3079373.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-08-24 11:30:06,2023-08-21 08:52:32,15983,62.0,4091.0,551.0,3846.0,76.0,5388.0,26924,2023-08-08 14:45:58,3.6.1,,5815834.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,67730.0,67730.0,735.0,https://pypi.org/project/spacy,5815834.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-08-24 17:46:38,2023-08-24 16:53:54,14951,366.0,1281.0,154.0,5905.0,517.0,3532.0,12639,2023-08-18 01:40:01,2.11.4,,663800.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3627.0,3627.0,190.0,https://pypi.org/project/prefect,663800.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-08-24 14:01:53,2023-08-24 13:49:49,8427,100.0,2106.0,204.0,4084.0,13.0,1879.0,19000,2023-08-10 15:51:36,3.20.1,,229620.0,100.0,"Multimodal AI services & pipelines with cloud-native stack: gRPC, Kubernetes, Docker, OpenTelemetry, Prometheus,..",903.0,903.0,171.0,https://pypi.org/project/jina,229620.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-08-14 22:59:59,2023-08-01 09:19:41,246,10.0,449.0,143.0,252.0,178.0,146.0,10514,2022-08-30 17:56:11,0.0.8,,521482.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6943.0,6943.0,53.0,https://pypi.org/project/sqlmodel,521482.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-08-24 16:35:44,2023-08-17 14:50:14,897,62.0,288.0,68.0,222.0,170.0,367.0,4830,2023-06-08 15:42:14,0.22.2,,154978.0,33.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1565.0,1565.0,95.0,https://pypi.org/project/django-ninja,154978.0,33,True,1,,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-08-24 13:42:40,2023-08-24 12:01:09,2926,211.0,432.0,44.0,2168.0,309.0,490.0,3401,2023-08-24 12:01:39,0.205.0,366.0,533.0,100.0,A GraphQL library for Python that leverages type annotations.,2129.0,2129.0,219.0,https://pypi.org/project/strawberry,442.0,33,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,,
9,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-08-24 01:25:49,2023-08-16 03:30:17,887,90.0,210.0,22.0,1130.0,80.0,270.0,1791,2023-08-09 18:39:06,0.21.4,,527693.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",853.0,853.0,87.0,https://pypi.org/project/datamodel-code-generator,527693.0,33,True,1,,,
