,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-04-13 18:05:12,2023-04-13 18:05:11,2766,148.0,4603.0,622.0,2221.0,17.0,3302.0,56608.0,2023-03-18 19:43:51,0.95.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",167966.0,167966.0,430.0,https://pypi.org/project/fastapi,16859696.0,16859696.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-04-13 17:42:22,2023-04-13 16:28:17,14335,595.0,1158.0,153.0,5157.0,538.0,3000.0,11727.0,2023-04-11 18:56:31,2.10.3,100.0,The easiest way to orchestrate and observe your data pipelines.,2589.0,2589.0,145.0,https://pypi.org/project/prefect,824131.0,824131.0,41,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-04-12 14:07:23,2023-04-12 14:07:23,810,61.0,271.0,62.0,203.0,148.0,324.0,4259.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1229.0,1229.0,87.0,https://pypi.org/project/django-ninja,95187.0,95187.0,32,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-04-12 19:37:53,2023-04-12 08:17:39,2661,140.0,381.0,44.0,1930.0,266.0,436.0,3113.0,2023-04-07 14:52:05,0.171.1,100.0,A GraphQL library for Python that leverages type annotations.,1711.0,1711.0,191.0,https://pypi.org/project/strawberry,489.0,552.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,441.0,,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-04-13 16:42:33,2023-04-13 16:41:59,762,133.0,168.0,21.0,933.0,55.0,227.0,1534.0,2023-03-31 15:23:56,0.17.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",655.0,655.0,67.0,https://pypi.org/project/datamodel-code-generator,265469.0,265469.0,32,True,1,,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-13 10:00:18,2023-02-21 11:02:54,236,8.0,402.0,132.0,231.0,177.0,145.0,9713.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5525.0,5525.0,54.0,https://pypi.org/project/sqlmodel,360171.0,360171.0,31,True,1,,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-04-12 17:57:18,2023-04-12 00:29:52,535,28.0,176.0,15.0,492.0,183.0,376.0,2204.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",746.0,746.0,88.0,https://pypi.org/project/pandera,903838.0,903838.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-04-13 14:23:02,2023-04-13 12:33:19,2247,264.0,266.0,58.0,1360.0,82.0,521.0,2019.0,2023-04-07 15:04:39,2.12.0,92.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1454.0,1454.0,104.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-04-12 08:10:12,2023-03-31 19:43:43,383,13.0,110.0,16.0,215.0,38.0,192.0,1144.0,2023-04-12 08:10:30,1.18.0,92.0,Asynchronous Python ODM for MongoDB.,913.0,913.0,43.0,https://pypi.org/project/beanie,55716.0,55716.0,29,True,1,,,1.0,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-04-13 13:26:13,2023-04-11 11:42:29,3205,680.0,79.0,9.0,543.0,82.0,178.0,1123.0,2023-04-11 12:52:09,0.7.7,68.0,Open-source data observability for analytics engineers.,17.0,17.0,42.0,https://pypi.org/project/elementary,,,25,True,1,,,1.0,
