,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,github_release_downloads
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-03-02 15:11:56,2023-03-02 15:11:54,2688,122.0,4463.0,615.0,2142.0,46.0,3267.0,55079.0,2023-02-14 09:21:59,0.92.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",154291.0,154291.0,415.0,https://pypi.org/project/fastapi,14309834.0,14309834.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-03-02 18:00:04,2023-03-02 17:57:26,14053,541.0,1115.0,155.0,4830.0,693.0,2663.0,11411.0,2023-02-23 21:49:35,2.8.3,100.0,The easiest way to coordinate your dataflow.,2265.0,2265.0,133.0,https://pypi.org/project/prefect,763487.0,763487.0,41,True,1,,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-21 23:04:53,2023-02-21 11:02:54,236,10.0,401.0,124.0,227.0,177.0,145.0,9489.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5201.0,5201.0,54.0,https://pypi.org/project/sqlmodel,361193.0,361193.0,32,True,1,,,
3,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-02-24 14:19:24,2023-02-24 14:12:26,790,69.0,257.0,62.0,187.0,136.0,311.0,4103.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1133.0,1133.0,82.0,https://pypi.org/project/django-ninja,93831.0,93831.0,32,True,1,-1.0,,
4,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-03-02 17:56:16,2023-03-02 15:22:09,2594,133.0,366.0,40.0,1857.0,251.0,422.0,2983.0,2023-02-22 20:53:02,0.159.0,100.0,A GraphQL library for Python that leverages type annotations.,1593.0,1593.0,182.0,https://pypi.org/project/strawberry,430.0,483.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,430.0
5,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-02-28 02:00:42,2023-02-23 14:01:43,718,153.0,159.0,22.0,856.0,44.0,218.0,1434.0,2023-02-06 17:56:33,0.17.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",622.0,622.0,60.0,https://pypi.org/project/datamodel-code-generator,219593.0,219593.0,32,True,1,1.0,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-02-27 00:26:51,2023-02-20 16:02:25,512,9.0,163.0,13.0,470.0,171.0,362.0,1995.0,2022-11-02 15:32:11,0.13.4,55.0,"A light-weight, flexible, and expressive statistical data testing library.",678.0,678.0,79.0,https://pypi.org/project/pandera,656594.0,656594.0,30,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-03-02 05:42:04,2023-03-01 21:36:13,2118,198.0,251.0,57.0,1249.0,70.0,500.0,1932.0,2023-03-02 05:42:04,2.9.1,89.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1398.0,1398.0,96.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,6.0,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-02-23 07:55:28,2023-02-09 15:23:25,377,22.0,105.0,14.0,208.0,59.0,154.0,1089.0,2023-02-09 15:25:23,1.18.0b1,91.0,Asynchronous Python ODM for MongoDB.,798.0,798.0,38.0,https://pypi.org/project/beanie,49274.0,49274.0,26,True,1,1.0,,
9,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/starlite-api/pydantic-factories,https://github.com/starlite-api/pydantic-factories,MIT,2021-11-13 16:39:26,2023-02-28 20:52:07,2023-02-27 17:41:17,306,9.0,32.0,11.0,68.0,9.0,64.0,437.0,2023-02-09 20:20:39,1.7.2,62.0,Simple and powerful mock data generation using pydantic or dataclasses.,340.0,340.0,28.0,https://pypi.org/project/pydantic-factories,175429.0,175429.0,26,True,1,,,
