,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending,updated_github_id
10,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-04-18 05:29:38,2023-01-03 19:16:25,478,,72.0,21.0,211.0,43.0,80.0,792.0,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,13297.0,13297.0,21,True,3,,,,
11,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-04-20 13:25:00,2023-01-02 16:09:46,148,,41.0,4.0,34.0,16.0,22.0,278.0,,,,flask extension for integration with the awesome pydantic package.,381.0,381.0,12.0,https://pypi.org/project/flask-pydantic,112151.0,112151.0,21,True,2,,,,
12,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-05-11 16:47:48,2023-05-11 15:32:54,235,34.0,30.0,13.0,67.0,3.0,44.0,137.0,,,,Pydantic data models for the GeoJSON spec.,234.0,234.0,20.0,https://pypi.org/project/geojson-pydantic,59028.0,59028.0,21,True,1,,,,
13,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,2.0,26.0,6.0,36.0,11.0,27.0,353.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,53.0,53.0,4.0,https://pypi.org/project/djantic,10511.0,10511.0,19,True,2,,,,
14,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-04-15 22:14:37,2023-04-15 22:09:50,159,6.0,11.0,5.0,34.0,1.0,16.0,197.0,2023-04-15 22:14:37,0.0.41,31.0,"A single model for shaping, creating, accessing, storing data within a Database.",9.0,9.0,9.0,https://pypi.org/project/pydbantic,7057.0,7057.0,18,True,3,,,-1.0,
15,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,6.0,,1.0,,,,9.0,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,391.0,391.0,28.0,https://pypi.org/project/pydantic-factories,137070.0,137070.0,18,True,1,,,4.0,litestar-org/pydantic-factories
16,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2023-04-29 12:01:03,2023-01-09 02:42:44,186,,38.0,7.0,48.0,10.0,27.0,185.0,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,16.0,https://pypi.org/project/graphene-pydantic,8738.0,8738.0,17,True,3,,,,
17,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-04-17 17:55:34,2023-04-15 15:01:50,106,5.0,6.0,2.0,36.0,4.0,15.0,55.0,2023-04-15 15:03:45,0.6.1,9.0,pydantic xml extension.,15.0,15.0,4.0,https://pypi.org/project/pydantic-xml,17662.0,17662.0,17,True,1,,,-2.0,
18,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-04-03 08:11:31,2022-12-15 10:03:27,92,,3.0,23.0,34.0,26.0,2.0,174.0,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,1.0,1.0,,https://pypi.org/project/patito,1151.0,1151.0,16,True,1,,,2.0,
19,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-04-19 12:40:30,2023-04-19 12:10:54,161,32.0,3.0,3.0,27.0,7.0,12.0,42.0,2023-04-19 12:40:30,0.1.17,34.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,7.0,https://pypi.org/project/pythogen,1034.0,1034.0,16,True,1,,,-1.0,
