,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-05-30 18:06:51,2024-05-30 15:21:10,16027,784.0,24147.0,1099.0,15887.0,849.0,14038.0,126903,2024-05-30 17:59:26,4.41.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",174365.0,174365.0,2598.0,https://pypi.org/project/transformers,28120195.0,28120195.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-05-30 18:06:25,2024-05-30 13:28:41,4284,469.0,5983.0,677.0,3284.0,41.0,3367.0,72055,2024-05-03 00:21:04,0.111.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",369606.0,369606.0,633.0,https://pypi.org/project/fastapi,36663178.0,36663178.0,48,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-05-30 17:09:19,2024-05-30 06:50:54,21744,900.0,5227.0,471.0,27767.0,3261.0,14321.0,31563,2024-05-22 23:37:00,ray-2.23.0,86.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,15752.0,15752.0,1023.0,https://pypi.org/project/ray,4243975.0,4243977.0,45,True,1,213.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-05-28 15:57:41,2024-05-15 10:11:33,16131,14.0,4226.0,557.0,4002.0,94.0,5504.0,28964,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,89426.0,89426.0,751.0,https://pypi.org/project/spacy,13315457.0,13315457.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-05-30 18:04:47,2024-05-30 17:40:27,16724,808.0,1470.0,158.0,8092.0,828.0,4165.0,14974,2024-05-23 19:48:58,2.19.2,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4914.0,4914.0,246.0,https://pypi.org/project/prefect,1658966.0,1658966.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-05-25 02:26:16,2024-05-16 10:39:34,8540,18.0,2179.0,208.0,4175.0,12.0,1925.0,20269,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1726.0,1726.0,176.0,https://pypi.org/project/jina,38476.0,38476.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-05-30 03:55:21,2024-05-10 21:00:41,408,32.0,561.0,150.0,389.0,176.0,155.0,13258,2024-04-30 06:30:05,0.0.18,17.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",12313.0,12313.0,72.0,https://pypi.org/project/sqlmodel,1461884.0,1461884.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-05-30 13:22:24,2024-05-30 09:45:34,2806,187.0,328.0,38.0,2298.0,145.0,880.0,4580,2024-05-06 07:20:23,2.6.4,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",586.0,586.0,192.0,https://pypi.org/project/litestar,1163505.0,1163505.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-05-30 02:08:10,2024-05-30 02:08:10,1097,38.0,272.0,25.0,1423.0,162.0,349.0,2361,2024-04-25 17:05:34,0.25.6,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1217.0,1217.0,119.0,https://pypi.org/project/datamodel-code-generator,964857.0,964857.0,34,True,1,,1.0,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-05-30 14:52:20,2024-05-27 16:12:08,6517,194.0,395.0,40.0,2437.0,39.0,246.0,3707,2024-05-27 17:00:54,0.58.0,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",540.0,540.0,93.0,https://pypi.org/project/zenml,40322.0,40322.0,33,True,3,1.0,,,
10,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-05-23 12:53:09,2024-05-14 02:30:43,720,76.0,281.0,18.0,714.0,319.0,470.0,3071,2024-05-14 02:45:20,0.19.3,90.0,"A light-weight, flexible, and expressive statistical data testing library.",1611.0,1611.0,131.0,https://pypi.org/project/pandera,2078211.0,2078211.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
11,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-05-30 15:20:23,2024-03-13 09:36:57,2708,3.0,1124.0,209.0,1049.0,22.0,615.0,6568,2024-03-13 10:47:20,1.6.0,63.0,An open source library for deep learning end-to-end dialog systems and chatbots.,390.0,390.0,77.0,https://pypi.org/project/deeppavlov,10665.0,10665.0,32,True,3,,,,
12,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-05-23 18:29:46,2024-05-01 19:25:53,476,7.0,192.0,15.0,337.0,73.0,316.0,1842,2024-05-01 19:47:15,1.26.0,100.0,Asynchronous Python ODM for MongoDB.,2361.0,2361.0,78.0,https://pypi.org/project/beanie,195900.0,195900.0,30,True,1,,,,BeanieODM/beanie
13,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-05-30 02:23:15,2024-05-30 02:13:34,1357,42.0,78.0,15.0,822.0,67.0,187.0,1594,2023-06-18 17:05:55,0.12.2,78.0,python async orm with fastapi in mind and pydantic validation.,1008.0,1008.0,36.0,https://pypi.org/project/ormar,118326.0,118326.0,30,True,2,,,,
