,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-01-11 18:00:01,2024-01-11 17:26:13,14876,673.0,22531.0,1069.0,14356.0,721.0,13026.0,118473,2023-12-18 18:44:02,4.36.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",128924.0,128924.0,2347.0,https://pypi.org/project/transformers,18315169.0,18315169.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-01-11 17:43:08,2024-01-11 17:43:08,3469,220.0,5464.0,655.0,2986.0,33.0,3343.0,66877,2024-01-11 15:35:50,0.109.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",291315.0,291315.0,543.0,https://pypi.org/project/fastapi,26051475.0,26051475.0,47,True,1,1.0,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-01-11 17:32:06,2024-01-11 09:17:42,20347,908.0,4864.0,464.0,25788.0,2984.0,13275.0,29424,2023-12-21 00:32:08,ray-2.9.0,76.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13166.0,13166.0,960.0,https://pypi.org/project/ray,2568126.0,2568128.0,44,True,1,,179.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-01-05 13:20:58,2024-01-02 09:03:06,16084,28.0,4155.0,556.0,3931.0,78.0,5447.0,27966,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,77980.0,77980.0,746.0,https://pypi.org/project/spacy,5645126.0,5645126.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-01-11 17:56:19,2024-01-11 17:45:05,15600,393.0,1370.0,159.0,6652.0,610.0,3790.0,13762,2024-01-05 03:25:50,2.14.13,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4223.0,4223.0,217.0,https://pypi.org/project/prefect,538161.0,538161.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-01-10 17:54:16,2024-01-10 17:54:15,8511,44.0,2148.0,205.0,4155.0,12.0,1911.0,19552,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1458.0,1458.0,176.0,https://pypi.org/project/jina,122738.0,122738.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-01-10 16:36:00,2024-01-09 06:52:30,369,123.0,500.0,150.0,317.0,173.0,153.0,11978,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9088.0,9088.0,71.0,https://pypi.org/project/sqlmodel,513806.0,513806.0,37,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-01-11 11:56:15,2024-01-11 03:36:29,2524,285.0,293.0,32.0,1954.0,102.0,752.0,3800,2024-01-06 11:44:46,2.5.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",335.0,335.0,170.0,https://pypi.org/project/litestar,21084.0,21084.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-01-11 01:41:27,2024-01-09 09:30:34,1036,107.0,235.0,22.0,1324.0,105.0,334.0,2057,2023-12-21 18:11:18,0.25.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1039.0,1039.0,105.0,https://pypi.org/project/datamodel-code-generator,520121.0,520121.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-01-08 16:02:31,2024-01-08 16:01:48,1070,117.0,339.0,75.0,282.0,214.0,451.0,5664,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1941.0,1941.0,125.0,https://pypi.org/project/django-ninja,183839.0,183839.0,33,True,1,,,,
