,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-10-10 18:06:16,2024-10-10 16:43:27,17133,800.0,25570.0,1118.0,17736.0,1008.0,14882.0,133175,2024-10-07 17:42:52,4.45.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",225100.0,225100.0,2872.0,https://pypi.org/project/transformers,37729029.0,37729029.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-10-09 20:12:16,2024-10-09 20:12:15,4800,434.0,6380.0,680.0,3621.0,46.0,3391.0,76432,2024-09-17 19:17:23,0.115.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",459725.0,459725.0,693.0,https://pypi.org/project/fastapi,70269097.0,70269097.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-10-10 16:12:38,2024-10-10 16:12:38,22758,611.0,5546.0,476.0,29161.0,3543.0,14974.0,33367,2024-09-24 23:37:52,ray-2.37.0,96.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,18245.0,18245.0,1078.0,https://pypi.org/project/ray,6082633.0,6082635.0,45,True,1,,240.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-10-01 23:10:18,2024-10-01 23:01:40,16203,69.0,4295.0,562.0,4022.0,126.0,5519.0,29815,2024-10-01 18:19:33,release-v3.8.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,101119.0,101119.0,758.0,https://pypi.org/project/spacy,12898819.0,12898821.0,44,True,1,,204.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-10-10 15:53:16,2024-10-10 15:17:25,17786,517.0,1552.0,163.0,9464.0,821.0,4746.0,16039,2024-10-10 15:53:16,3.0.8,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5742.0,5742.0,279.0,https://pypi.org/project/prefect,4288853.0,4288853.0,44,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-10-01 23:03:49,2024-10-01 23:03:47,8605,54.0,2197.0,211.0,4207.0,5.0,1937.0,21022,2024-10-01 09:31:10,3.27.17,100.0,Build multimodal AI applications with cloud-native stack.,1771.0,1771.0,177.0,https://pypi.org/project/jina,129763.0,129763.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-10-07 21:22:17,2024-10-07 21:22:16,564,127.0,589.0,145.0,495.0,175.0,160.0,14240,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",16006.0,16006.0,80.0,https://pypi.org/project/sqlmodel,2226363.0,2226363.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-10-05 12:12:54,2024-10-05 12:11:05,2914,71.0,368.0,40.0,2421.0,161.0,955.0,5431,2024-09-21 14:40:07,2.12.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",984.0,984.0,213.0,https://pypi.org/project/litestar,360729.0,360729.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-10-07 18:23:29,2024-09-27 08:59:42,1160,27.0,294.0,24.0,1492.0,200.0,362.0,2674,2024-09-27 09:00:28,0.26.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1422.0,1422.0,133.0,https://pypi.org/project/datamodel-code-generator,4511452.0,4511452.0,35,True,1,,,1.0,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-09-30 23:17:28,2024-09-30 20:04:54,776,31.0,306.0,20.0,788.0,355.0,516.0,3309,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1937.0,1937.0,147.0,https://pypi.org/project/pandera,6065436.0,6065436.0,33,True,1,,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-10-10 16:45:34,2024-09-30 08:43:46,6770,156.0,425.0,41.0,2754.0,31.0,267.0,3983,2024-09-30 16:22:09,0.67.0,100.0,ZenML : The bridge between ML and Ops. https://zenml.io.,761.0,761.0,98.0,https://pypi.org/project/zenml,39902.0,39902.0,32,True,3,,3.0,,
11,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-10-10 15:39:58,2024-08-12 17:08:04,2710,2.0,1136.0,209.0,1051.0,25.0,615.0,6681,2024-08-12 17:09:11,1.7.0,64.0,An open source library for deep learning end-to-end dialog systems and chatbots.,412.0,412.0,77.0,https://pypi.org/project/deeppavlov,12579.0,12579.0,31,True,3,,,,
12,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-10-10 16:40:17,2024-10-08 19:25:55,529,41.0,213.0,18.0,386.0,78.0,352.0,2027,2024-10-07 17:49:00,1.27.0,100.0,Asynchronous Python ODM for MongoDB.,2866.0,2866.0,96.0,https://pypi.org/project/beanie,246933.0,246933.0,31,True,1,BeanieODM/beanie,,,
13,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-10-09 18:23:19,2024-10-09 18:23:19,1211,46.0,419.0,74.0,352.0,301.0,530.0,7095,2024-08-15 09:14:29,1.3.0,43.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,143.0,https://pypi.org/project/django-ninja,474723.0,474723.0,30,True,1,,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-10-02 02:15:07,2024-10-02 02:15:00,1399,4.0,85.0,16.0,878.0,71.0,192.0,1660,2024-06-09 16:24:10,0.20.1,79.0,python async orm with fastapi in mind and pydantic validation.,1042.0,1042.0,38.0,https://pypi.org/project/ormar,80812.0,80812.0,30,True,2,,,,
15,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-10-10 12:44:42,2024-10-10 06:32:17,3801,181.0,386.0,52.0,4005.0,83.0,1064.0,2840,2024-10-08 13:29:00,3.1.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2733.0,2733.0,155.0,https://pypi.org/project/aws-lambda-powertools-python,,3.0,29,False,1,aws-powertools/powertools-lambda-python,127.0,,
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-10-04 23:09:55,2024-10-04 22:59:35,1843,37.0,90.0,15.0,506.0,113.0,298.0,1415,2024-10-04 23:09:55,1.20.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",400.0,400.0,45.0,https://pypi.org/project/piccolo,51635.0,51635.0,29,True,3,,,,
17,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-10-09 11:15:08,2024-10-09 10:36:32,3277,90.0,520.0,39.0,2531.0,395.0,623.0,3970,2024-10-09 10:36:46,0.246.1,100.0,A GraphQL library for Python that leverages type annotations.,,,263.0,https://pypi.org/project/strawberry,686.0,732.0,27,True,1,,599.0,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support
