,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
12,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-10-26 17:53:36,2023-10-24 17:14:43,5982,169.0,326.0,39.0,1762.0,11.0,200.0,3201,2023-10-24 17:18:43,0.45.5,1.0,12362.0,84.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",209.0,209.0,78.0,https://pypi.org/project/zenml,12362.0,32,True,3,,,
13,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-10-26 15:13:59,2023-10-23 18:21:48,603,29.0,221.0,18.0,583.0,264.0,417.0,2645,2023-09-30 03:45:48,0.17.2,,1237735.0,76.0,"A light-weight, flexible, and expressive statistical data testing library.",1095.0,1095.0,103.0,https://pypi.org/project/pandera,1237735.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
14,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-10-25 02:45:31,2023-10-25 02:44:37,437,29.0,156.0,19.0,276.0,46.0,273.0,1517,2023-10-24 03:51:39,1.23.1,,158894.0,100.0,Asynchronous Python ODM for MongoDB.,1565.0,1565.0,62.0,https://pypi.org/project/beanie,158894.0,31,True,1,,,
15,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-10-26 02:12:46,2023-10-26 02:11:20,1297,48.0,75.0,16.0,731.0,65.0,176.0,1467,2023-06-18 17:05:55,0.12.2,,48650.0,77.0,python async orm with fastapi in mind and pydantic validation.,906.0,906.0,33.0,https://pypi.org/project/ormar,48650.0,31,True,2,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-10-26 00:49:26,2023-10-24 23:07:50,2158,105.0,190.0,91.0,2658.0,193.0,734.0,2780,2023-10-09 20:37:49,8.9.0,17298.0,1173.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,11.0,11.0,33.0,https://pypi.org/project/onefuzz,693.0,29,True,1,,,
17,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-10-20 03:41:23,2023-10-20 03:37:55,1719,10.0,76.0,15.0,417.0,89.0,238.0,1131,2023-10-20 03:41:23,1.0.0,,21020.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",294.0,294.0,42.0,https://pypi.org/project/piccolo,21020.0,29,True,3,,,
18,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-10-26 16:52:58,2023-10-26 16:14:40,2947,275.0,322.0,55.0,2293.0,60.0,725.0,2360,2023-10-13 16:49:07,2.26.0,25.0,0.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1849.0,1849.0,136.0,https://pypi.org/project/aws-lambda-powertools-python,,28,False,1,,,aws-powertools/powertools-lambda-python
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-10-26 17:26:20,2023-10-26 16:18:11,1512,88.0,203.0,28.0,912.0,129.0,92.0,2214,2023-10-22 17:06:18,0.10.25,,24.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",215.0,215.0,56.0,https://pypi.org/project/robusta,24.0,28,True,1,1.0,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-10-26 17:24:03,2023-10-26 17:08:53,4389,457.0,121.0,12.0,847.0,146.0,254.0,1476,2023-10-26 17:16:48,0.12.0,,,81.0,Open-source data observability for analytics engineers.,29.0,29.0,61.0,https://pypi.org/project/elementary,,25,True,1,,,
21,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-10-04 19:51:04,2023-10-04 19:50:46,283,4.0,33.0,14.0,78.0,2.0,58.0,169,,,,110229.0,,Pydantic data models for the GeoJSON spec.,288.0,288.0,22.0,https://pypi.org/project/geojson-pydantic,110229.0,23,True,1,,,
22,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-10-22 17:22:31,2023-10-22 17:21:25,227,69.0,11.0,5.0,89.0,6.0,41.0,92,2023-10-22 17:23:27,2.3.0,,39368.0,26.0,python xml for humans.,36.0,36.0,8.0,https://pypi.org/project/pydantic-xml,39368.0,22,True,1,,,
23,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-09-26 11:30:34,2023-01-02 16:09:46,148,,48.0,4.0,37.0,17.0,22.0,304,,,,146803.0,,flask extension for integration with the awesome pydantic package.,477.0,477.0,12.0,https://pypi.org/project/flask-pydantic,146803.0,21,True,2,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-10-18 01:38:32,2021-05-06 12:10:38,127,,148.0,50.0,53.0,,30.0,2887,2021-05-01 13:59:02,0.0.11,,45.0,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,45.0,20,True,3,,,
25,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2023-10-24 21:01:37,2023-09-06 12:16:36,550,1.0,87.0,19.0,371.0,115.0,84.0,866,2023-07-18 14:52:05,0.2.1,,,17.0,"Object mapping, and more, for Redis and Python.",706.0,706.0,23.0,https://pypi.org/project/redis-om-python,,20,True,1,,,
26,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-09-12 11:51:47,2023-01-03 19:16:25,478,,77.0,21.0,215.0,55.0,81.0,849,2023-01-03 20:08:22,0.9.2,,14053.0,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,16.0,https://pypi.org/project/odmantic,14053.0,20,True,3,,,
27,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,31.0,7.0,36.0,12.0,27.0,391,2022-04-14 10:14:45,0.7.0,,14118.0,15.0,Pydantic model support for Django.,59.0,59.0,4.0,https://pypi.org/project/djantic,14118.0,20,True,2,,,
28,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165,6.0,13.0,5.0,42.0,4.0,18.0,210,2023-10-03 08:00:16,0.0.47,,3885.0,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",13.0,13.0,9.0,https://pypi.org/project/pydbantic,3885.0,19,True,3,,,
29,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-10-25 19:41:49,2023-10-13 18:07:51,319,70.0,5.0,4.0,50.0,2.0,21.0,48,2023-10-13 18:12:21,0.2.31,,3485.0,80.0,Awesome python HTTP-clients from OpenAPI.,,,13.0,https://pypi.org/project/pythogen,3485.0,19,True,1,,,
