,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-11-09 17:58:55,2023-11-09 17:53:26,14450,772.0,21855.0,1065.0,13804.0,693.0,12574.0,114896,2023-11-02 17:00:05,4.35.0,143.0,17818820.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112031.0,112031.0,2245.0,https://pypi.org/project/transformers,17818817.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-11-09 07:15:33,2023-11-04 02:03:01,3314,180.0,5285.0,645.0,2793.0,29.0,3339.0,64387,2023-10-30 10:05:55,0.104.1,,22024177.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",259193.0,259193.0,514.0,https://pypi.org/project/fastapi,22024177.0,45,True,1,-1.0,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-11-09 17:59:06,2023-11-09 17:46:43,19778,1200.0,4730.0,467.0,24933.0,3041.0,12790.0,28551,2023-11-03 00:55:09,ray-2.8.0,107.0,2499256.0,74.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12149.0,12149.0,938.0,https://pypi.org/project/ray,2499255.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-11-09 10:35:11,2023-11-08 16:35:24,16070,72.0,4136.0,567.0,3914.0,75.0,5423.0,27531,2023-10-16 16:11:22,3.7.2,,6930646.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,73351.0,73351.0,743.0,https://pypi.org/project/spacy,6930646.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-11-09 17:23:45,2023-11-09 17:23:43,15326,429.0,1336.0,155.0,6334.0,574.0,3683.0,13214,2023-11-02 21:30:23,2.14.3,,625317.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3949.0,3949.0,205.0,https://pypi.org/project/prefect,625317.0,43,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-11-08 19:45:51,2023-11-08 19:45:50,8491,65.0,2137.0,205.0,4135.0,15.0,1899.0,19309,2023-10-31 14:36:40,3.22.4,,85439.0,100.0,Build multimodal AI applications with cloud-native stack.,1274.0,1274.0,177.0,https://pypi.org/project/jina,85439.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-11-08 16:04:48,2023-11-08 16:04:47,331,85.0,468.0,145.0,281.0,173.0,153.0,11170,2023-10-29 09:58:11,0.0.11,,593442.0,10.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8039.0,8039.0,71.0,https://pypi.org/project/sqlmodel,593442.0,36,True,1,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-11-09 08:43:48,2023-11-07 04:25:27,2340,259.0,267.0,31.0,1725.0,80.0,683.0,3354,2023-11-06 19:50:24,2.3.2,,16089.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",240.0,240.0,150.0,https://pypi.org/project/litestar,16089.0,34,True,3,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-11-09 16:56:48,2023-11-09 16:56:20,963,78.0,226.0,21.0,1237.0,113.0,290.0,1924,2023-11-08 16:34:26,0.23.0,,611389.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",949.0,949.0,97.0,https://pypi.org/project/datamodel-code-generator,611389.0,34,True,1,1.0,,
9,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-11-08 11:42:27,2023-10-17 11:40:34,2699,10.0,1115.0,211.0,1040.0,18.0,613.0,6390,2023-10-17 11:41:15,1.4.0,,8621.0,61.0,An open source library for deep learning end-to-end dialog systems and chatbots.,362.0,362.0,76.0,https://pypi.org/project/deeppavlov,8621.0,33,True,3,,,
10,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-11-07 16:59:07,2023-11-07 16:54:21,965,72.0,306.0,71.0,239.0,182.0,405.0,5165,2023-06-08 15:42:14,0.22.2,,209027.0,36.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1750.0,1750.0,104.0,https://pypi.org/project/django-ninja,209027.0,33,True,1,,,
11,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-11-09 16:16:17,2023-11-08 10:36:14,2997,83.0,454.0,43.0,2271.0,341.0,508.0,3513,2023-11-08 10:34:29,0.213.0,457.0,668.0,100.0,A GraphQL library for Python that leverages type annotations.,2409.0,2409.0,228.0,https://pypi.org/project/strawberry,592.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
12,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-11-09 17:04:06,2023-11-06 19:10:16,6013,185.0,328.0,41.0,1805.0,13.0,200.0,3238,2023-11-06 20:12:06,0.46.0,1.0,13081.0,86.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",216.0,216.0,80.0,https://pypi.org/project/zenml,13081.0,32,True,3,,,
13,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-11-07 19:05:29,2023-11-01 20:35:23,607,29.0,223.0,17.0,587.0,273.0,418.0,2665,2023-09-30 03:45:48,0.17.2,,1269226.0,76.0,"A light-weight, flexible, and expressive statistical data testing library.",1109.0,1109.0,105.0,https://pypi.org/project/pandera,1269226.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
14,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-11-09 05:02:53,2023-11-09 05:02:08,443,34.0,162.0,18.0,284.0,49.0,275.0,1535,2023-11-09 04:30:35,1.23.2,,156063.0,100.0,Asynchronous Python ODM for MongoDB.,1624.0,1624.0,63.0,https://pypi.org/project/beanie,156063.0,31,True,1,,,
15,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-11-04 05:11:02,2023-10-26 02:11:20,1297,42.0,76.0,16.0,732.0,66.0,176.0,1474,2023-06-18 17:05:55,0.12.2,,32686.0,77.0,python async orm with fastapi in mind and pydantic validation.,914.0,914.0,33.0,https://pypi.org/project/ormar,32686.0,30,True,2,-1.0,,
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-11-07 18:23:10,2023-11-07 18:23:10,1724,15.0,76.0,14.0,420.0,91.0,240.0,1155,2023-11-03 15:11:45,1.1.0,,20668.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",295.0,295.0,42.0,https://pypi.org/project/piccolo,20668.0,29,True,3,,,
17,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-11-09 14:50:51,2023-11-08 21:07:48,2989,275.0,321.0,55.0,2343.0,59.0,729.0,2380,2023-10-13 16:49:07,2.26.0,25.0,0.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1874.0,1874.0,136.0,https://pypi.org/project/aws-lambda-powertools-python,,28,False,1,,,aws-powertools/powertools-lambda-python
18,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-11-09 15:03:24,2023-11-08 05:09:50,1523,88.0,206.0,28.0,926.0,128.0,101.0,2239,2023-10-22 17:06:18,0.10.25,,27.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",217.0,217.0,61.0,https://pypi.org/project/robusta,27.0,28,True,1,,,
19,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,91.0,191.0,91.0,2666.0,192.0,736.0,2779,2023-10-09 20:37:49,8.9.0,17406.0,872.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,,,33.0,https://pypi.org/project/onefuzz,402.0,26,True,1,-1.0,,
